"","id","module","supermodule","dim_1","dim_2"
"1","PBANKA-0000301","5","1",0.64851859325673,2.49761778551291
"2","PBANKA-0100061","1","1",1.05589080715682,-0.0538267449741507
"3","PBANKA-0100200","15","1",-2.1941184390137,-0.439156945169463
"4","PBANKA-0100700","4","1",-1.08222502356265,-0.349521334589019
"5","PBANKA-0100800","5","1",-0.25654166823123,2.65682131487082
"6","PBANKA-0100900","3","1",-1.63406175261233,-1.3794003085499
"7","PBANKA-0101000","15","1",-1.97759288435672,-1.16724341672708
"8","PBANKA-0101100","13","1",1.89585584515836,1.76092154222678
"9","PBANKA-0101200","6","1",0.176868559067506,-2.00846665662576
"10","PBANKA-0101400","11","1",-1.70648687964175,0.517597262441621
"11","PBANKA-0101500","2","1",3.83654910439755,-0.058466132104888
"12","PBANKA-0101600","1","1",0.152489782517213,0.749427382528291
"13","PBANKA-0101700","5","1",-0.537650286013823,2.79259592729758
"14","PBANKA-0101800","2","1",3.72492891663815,-0.416650231302276
"15","PBANKA-0101900","6","1",1.17357271278407,-1.30516355794717
"16","PBANKA-0102000","3","1",-1.50089424734805,-1.57312494081308
"17","PBANKA-0102200","7","1",-0.705660401637297,-2.90048294824411
"18","PBANKA-0102400","11","1",-2.0117203581879,1.17782551485251
"19","PBANKA-0102500","1","1",1.31357963496949,-0.786308701456084
"20","PBANKA-0102600","5","1",0.386800767128724,2.73127943712424
"21","PBANKA-0102700","9","1",-1.21270412092898,3.74010712343405
"22","PBANKA-0102900","18","1",4.08267861718442,1.47344118791769
"23","PBANKA-0103000","3","1",-1.57804721480105,-1.16912430089761
"24","PBANKA-0103100","16","1",0.076294840519685,-1.13430398267557
"25","PBANKA-0103200","2","1",3.08986348027493,0.836206976949677
"26","PBANKA-0103400","5","1",1.11548953337725,1.71689278322409
"27","PBANKA-0103700","4","1",-1.21052998190616,-0.35289400380899
"28","PBANKA-0103800","10","1",-0.197715460116606,0.682266776144013
"29","PBANKA-0104000","1","1",0.33945453280713,0.745934550344453
"30","PBANKA-0104100","5","1",0.0521823775222485,3.07060391145895
"31","PBANKA-0104200","5","1",-0.731651722247344,2.95300299364279
"32","PBANKA-0104400","5","1",-0.529882727915984,2.99409300523947
"33","PBANKA-0104500","2","1",3.97875434273984,0.267715756475434
"34","PBANKA-0104700","14","1",-1.30361574774478,2.15939909654807
"35","PBANKA-0104900","3","1",-1.78854626303409,-1.48207956117441
"36","PBANKA-0105000","1","1",1.08152964638676,0.793489996969209
"37","PBANKA-0105100","2","1",3.99914246911313,0.337485138952241
"38","PBANKA-0105200","7","1",-1.14482229834292,-2.6961368278866
"39","PBANKA-0105300","1","1",1.22482113653924,0.0645428343410348
"40","PBANKA-0105500","3","1",-1.57899898176883,-2.11670928758432
"41","PBANKA-0105600","3","1",-1.73210829382632,-1.38892191213418
"42","PBANKA-0105700","11","1",-2.27088492994998,1.70390946108054
"43","PBANKA-0105800","1","1",0.660241187756318,-1.05647533696939
"44","PBANKA-0106000","1","1",1.28162333483006,0.978524748861298
"45","PBANKA-0106200","9","1",-1.25246614104007,3.27232414919089
"46","PBANKA-0106300","18","1",4.45234471673276,1.40133721071433
"47","PBANKA-0106400","4","1",-0.967364488894683,-0.569645817697539
"48","PBANKA-0106500","3","1",-0.800586520488005,-1.17865865987588
"49","PBANKA-0106600","3","1",-1.27078288679813,-1.07107179921915
"50","PBANKA-0106700","12","1",-0.590217529589873,-1.89806931775857
"51","PBANKA-0106800","1","1",0.881865755861062,-0.661678250253692
"52","PBANKA-0106900","3","1",-1.56016415243838,-2.20433908265878
"53","PBANKA-0107000","1","1",1.31353511029984,-0.424242909372344
"54","PBANKA-0107100","4","1",-0.517173825556975,-0.52450888913919
"55","PBANKA-0107200","9","1",-1.23679584151004,3.7219854040737
"56","PBANKA-0107300","8","1",-2.92605250960086,-2.04144781392862
"57","PBANKA-0107400","11","1",-1.8167716849396,1.15717417436789
"58","PBANKA-0107500","6","1",0.658465684597749,-1.11754697126199
"59","PBANKA-0107800","2","1",2.970698178952,-0.141408617914214
"60","PBANKA-0107900","1","1",1.18117296064403,-0.779895241678252
"61","PBANKA-0108100","17","1",2.29749351853635,0.389415328084931
"62","PBANKA-0108300","2","1",3.23880702370908,-0.326840098321929
"63","PBANKA-0108600","15","1",-2.54812449103091,-1.44618695539285
"64","PBANKA-0108700","6","1",0.659369350617189,-2.07372957032968
"65","PBANKA-0108800","2","1",4.48451000565793,0.379037921010957
"66","PBANKA-0108900","16","1",0.092914999668855,-0.962795432031646
"67","PBANKA-0109100","8","1",-2.91204780226443,-2.07849674981882
"68","PBANKA-0109200","10","1",-0.989258705432158,0.961953227102265
"69","PBANKA-0109400","6","1",0.805385590737123,-1.66822808545877
"70","PBANKA-0109500","8","1",-2.4208828795502,-2.77090274852563
"71","PBANKA-0109600","12","1",-0.440266071612578,-2.2160085992222
"72","PBANKA-0109800","18","1",4.53443223351743,1.16163307863425
"73","PBANKA-0109900","2","1",4.43882233018186,0.668663565694795
"74","PBANKA-0110000","7","1",-1.43482941275333,-2.51146989625741
"75","PBANKA-0110100","6","1",1.35797539467122,-1.2061950520878
"76","PBANKA-0110200","1","1",0.394050301258821,0.00111324030111781
"77","PBANKA-0110500","2","1",4.28209191674497,0.832772795736298
"78","PBANKA-0110600","1","1",1.21365200096871,0.836488310873017
"79","PBANKA-0110700","15","1",-1.75385564451907,-0.152794773996368
"80","PBANKA-0110800","2","1",4.09472924584653,0.159818474828706
"81","PBANKA-0110900","1","1",0.850470424835939,-0.707094843805327
