Gene_ID_PB,DOZI_regulated?
PBANKA_0506200,NO
PBANKA_1130000,NO
PBANKA_1005300,NO
PBANKA_1137200,NO
PBANKA_0934200,NO
PBANKA_1301700,NO
PBANKA_1365200,NO
PBANKA_1020700,NO
PBANKA_0710100,NO
PBANKA_1030300,NO
PBANKA_0524000,NO
PBANKA_0929800,NO
PBANKA_1414400,NO
PBANKA_0715200,NO
PBANKA_1237600,NO
PBANKA_0932200,YES
PBANKA_0934500,NO
PBANKA_1322700,NO
PBANKA_0301300,NO
PBANKA_1010000,NO
PBANKA_0936400,NO
PBANKA_0519100,NO
PBANKA_0803100,NO
PBANKA_1218000,NO
PBANKA_0505100,NO
PBANKA_0910000,NO
PBANKA_1005400,NO
PBANKA_1445400,NO
PBANKA_1028000,NO
PBANKA_0505700,NO
PBANKA_1146000,NO
PBANKA_1039600,NO
PBANKA_1455600,NO
PBANKA_1003800,NO
PBANKA_0604600,NO
PBANKA_0615200,NO
PBANKA_0308300,NO
PBANKA_1222900,NO
PBANKA_0612300,NO
PBANKA_0102800,NO
PBANKA_1036900,NO
PBANKA_1302300,NO
PBANKA_1109300,YES
PBANKA_1415600,NO
PBANKA_1145500,NO
PBANKA_1138700,NO
PBANKA_1210900,NO
PBANKA_0818000,NO
PBANKA_1119000,NO
PBANKA_1309200,NO
PBANKA_1343000,NO
PBANKA_0521400,NO
PBANKA_0306900,YES
PBANKA_0921700,NO
PBANKA_0602800,NO
PBANKA_1235500,NO
PBANKA_1440100,NO
PBANKA_1034100,NO
PBANKA_0414100,NO
PBANKA_1427100,NO
PBANKA_1134500,NO
PBANKA_0813900,NO
PBANKA_0613800,NO
PBANKA_1208700,NO
PBANKA_1233400,NO
PBANKA_1302400,NO
PBANKA_1461400,NO
PBANKA_1412600,NO
PBANKA_1312700,NO
PBANKA_1032700,NO
PBANKA_0820700,NO
PBANKA_1447900,NO
PBANKA_1334000,YES
PBANKA_0101400,NO
PBANKA_0905000,NO
PBANKA_0212100,NO
PBANKA_0517500,NO
PBANKA_MIT01900,NO
PBANKA_1314400,NO
PBANKA_1216600,NO
PBANKA_1015300,NO
PBANKA_0804400,NO
PBANKA_1241800,NO
PBANKA_1464500,NO
PBANKA_0415300,NO
PBANKA_0710500,NO
PBANKA_0821700,NO
PBANKA_1429700,NO
PBANKA_0715000,NO
PBANKA_0415500,NO
PBANKA_1401200,NO
PBANKA_1106100,NO
PBANKA_0709500,NO
PBANKA_0917900,NO
PBANKA_1022800,NO
PBANKA_1242800,YES
PBANKA_1242700,NO
PBANKA_1433100,NO
PBANKA_0212000,NO
PBANKA_1306600,NO
PBANKA_0820800,NO
PBANKA_1127800,NO
PBANKA_1007400,NO
PBANKA_1453200,NO
PBANKA_0316000,NO
PBANKA_0911700,NO
PBANKA_0702000,NO
PBANKA_0804700,NO
PBANKA_1415200,YES
PBANKA_1338100,YES
PBANKA_1120800,NO
PBANKA_1365100,NO
PBANKA_1001400,NO
PBANKA_0504900,NO
PBANKA_1449400,YES
PBANKA_1110500,NO
PBANKA_0820000,NO
PBANKA_1313200,YES
PBANKA_0918300,NO
PBANKA_1358300,NO
PBANKA_0713500,NO
PBANKA_1105000,NO
PBANKA_1000011,NO
PBANKA_0316100,NO
PBANKA_0941100,NO
PBANKA_1324000,NO
PBANKA_1458300,NO
PBANKA_0905600,NO
PBANKA_0716700,NO
PBANKA_1028500,NO
PBANKA_0808000,NO
PBANKA_1351100,NO
PBANKA_1351800,NO
PBANKA_0803700,NO
PBANKA_0214600,NO
PBANKA_0717000,NO
PBANKA_1217600,NO
PBANKA_1120600,NO
PBANKA_1407700,NO
PBANKA_0707400,NO
PBANKA_0803400,NO
PBANKA_0502900,NO
PBANKA_0301000,NO
PBANKA_0939200,NO
PBANKA_1003700,NO
PBANKA_1108300,NO
PBANKA_1035900,NO
PBANKA_0920900,NO
PBANKA_1343300,NO
PBANKA_0502600,NO
PBANKA_1322000,NO
PBANKA_1207200,NO
PBANKA_0805900,NO
PBANKA_1204200,NO
PBANKA_1003400,NO
PBANKA_0928200,NO
PBANKA_1024900,NO
PBANKA_1419100,NO
PBANKA_1364000,NO
PBANKA_1007700,NO
PBANKA_1227100,NO
PBANKA_1202100,NO
PBANKA_0620100,NO
PBANKA_1103100,NO
PBANKA_1108100,NO
PBANKA_1410000,NO
PBANKA_0815900,YES
PBANKA_0602300,NO
PBANKA_0101800,NO
PBANKA_1432800,NO
PBANKA_1422900,YES
PBANKA_1348600,NO
PBANKA_0512800,NO
PBANKA_0708000,NO
PBANKA_1233300,NO
PBANKA_1346300,YES
PBANKA_1430300,YES
PBANKA_1452800,NO
PBANKA_0705700,NO
PBANKA_1206000,NO
PBANKA_1347900,NO
PBANKA_1326600,NO
PBANKA_1240600,YES
PBANKA_0904700,NO
PBANKA_0924000,NO
PBANKA_0315300,NO
PBANKA_1209000,NO
PBANKA_1404900,NO
PBANKA_1450700,NO
PBANKA_1417800,NO
PBANKA_0700600,NO
PBANKA_1103600,NO
PBANKA_1301400,NO
PBANKA_0202000,NO
PBANKA_0937400,NO
PBANKA_1318400,NO
PBANKA_1441700,NO
PBANKA_0916400,NO
PBANKA_1111400,NO
PBANKA_1228200,NO
PBANKA_0111800,NO
PBANKA_1440000,NO
PBANKA_0919300,NO
PBANKA_0720100,NO
