"GeneId","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"__alignment_not_unique",2936848.77567028,-0.0742063257605039,0.357264610223575,-0.207706903054478,0.835457827371524,0.87005759597984
"__ambiguous",38153.9809153504,-0.847094940715041,0.322365134774431,-2.62774986912831,0.00859516910965219,0.0144232085808128
"__no_feature",8183293.57491414,-0.460414769781446,0.23497734583661,-1.95940067389131,0.0500658818192229,0.073508863793248
"__not_aligned",1588832.98146635,0.531102054513555,0.419141904796437,1.26711752854082,0.205113268832316,0.263155525343601
"__too_low_aQual",355681.923281263,-0.468586189552073,0.317337478076541,-1.47661786559939,0.139778099966189,0.186238331694418
"berg11:tRNA:rfamscan:377879-377958:tRNA",10.5442649193107,2.69207100650986,1.12844598222356,2.3856445491571,0.0170492207504996,0.0272607732533578
"PBANKA_0000201.1",0,NA,NA,NA,NA,NA
"PBANKA_0000301.1",36.9089313350242,2.01731152832813,0.805752882300853,2.50363550989435,0.0122924597358516,0.0201743489138221
"PBANKA_0000401.1",3.1701772206591,2.98456396199728,1.881915891351,1.5859178275256,0.112757951169131,0.153328208461322
"PBANKA_0000600.1",6.25338724484881,1.64576495876081,0.933448215904965,1.76310258107384,0.0778831899987362,0.110238287875751
"PBANKA_0000701.1",3.00730562831077,0.546952513709937,1.44404091732354,0.378765246294883,0.704862197237356,0.758256391226746
"PBANKA_0000801.1",27.9888359154789,0.88192997431602,1.13414678100008,0.777615374915005,0.436795794329025,0.510921901186763
"PBANKA_0000901.1",5.41977911739986,0.340491585085048,1.18016390444197,0.288512115820087,0.772954757549045,0.819198555749451
"PBANKA_0001001.1",330.190249841007,1.46521060072017,0.366424543468334,3.99866937637815,6.36995883813483e-05,0.000144784558247729
"PBANKA_0001101.1",10.0304297694134,1.41974805196244,0.811774287328465,1.74894434835428,0.0803006396427176,0.113346716207205
"PBANKA_0001200.1",0,NA,NA,NA,NA,NA
"PBANKA_0001201.1",62.7552475321431,-0.0467890532453965,0.5590015960064,-0.0837011085114339,0.933294075775395,0.94707302374452
"PBANKA_0001301.1",2.65338509280844,2.07160252219992,1.58403536267101,1.30780067858256,0.190940924003958,0.24656825231473
"PBANKA_0001401.1",7.60748410455059,-2.5078974997816,0.777118980045053,-3.22717314102431,0.00125019785651891,0.00240835947322683
"PBANKA_0001501.1",0.409950957056556,-1.1986275524992,1.95316800568179,-0.613683794231926,0.539424299330958,0.608209156397876
"PBANKA_0001601.1",0.0583980922208756,0.322062115431674,1.95151879073201,0.165031521582669,0.868919171579171,0.894603221388182
"PBANKA_0006300.1",7.52473257117594,4.42239400724519,1.14243104736108,3.87103800921775,0.000108372890608828,0.000239872155898887
"PBANKA_0006401.1",0,NA,NA,NA,NA,NA
"PBANKA_0006501.1",0,NA,NA,NA,NA,NA
"PBANKA_0006600.1",0,NA,NA,NA,NA,NA
"PBANKA_0006701.1",0,NA,NA,NA,NA,NA
"PBANKA_0006800.1",0,NA,NA,NA,NA,NA
"PBANKA_0006900.1",0,NA,NA,NA,NA,NA
"PBANKA_0007000.1",0,NA,NA,NA,NA,NA
"PBANKA_0007100.1",0,NA,NA,NA,NA,NA
"PBANKA_0007200.1",0,NA,NA,NA,NA,NA
"PBANKA_0007300.1",0,NA,NA,NA,NA,NA
