"GeneId","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"__alignment_not_unique",2936848.77567028,-0.431047920649569,0.357265289783879,-1.20652056881967,0.227616833062887,0.270298266399259
"__ambiguous",38153.9809153504,-3.53002411786506,0.322354998997817,-10.9507348384225,6.59107221856305e-28,5.46253654126889e-27
"__no_feature",8183293.57491414,0.0499151243552834,0.234977943086241,0.212424722506673,0.831775700091441,0.856875246596998
"__not_aligned",1588832.98146635,19.783715063344,0.900515821514159,21.9693142426737,5.66168477174775e-107,1.12253788455229e-104
"__too_low_aQual",355681.923281263,-1.26574291787699,0.317341901380941,-3.98857797337509,6.64705549524824e-05,0.000131689358485798
"berg11:tRNA:rfamscan:377879-377958:tRNA",10.5442649193107,-2.04162010306692,0.985023885466187,-2.07266050416704,0.0382038859048682,0.0526862043444611
"PBANKA_0000201.1",0,NA,NA,NA,NA,NA
"PBANKA_0000301.1",36.9089313350242,1.39532240773064,0.837562564020753,1.66593215560201,0.0957269281348408,0.122968431232271
"PBANKA_0000401.1",3.1701772206591,-0.485227012474045,1.86206375578375,-0.260585606140974,0.794412090910289,0.822989213955494
"PBANKA_0000600.1",6.25338724484881,1.18278009421163,1.063552142991,1.11210353155355,0.266093638485701,0.311823756852418
"PBANKA_0000701.1",3.00730562831077,2.47147071589476,1.60205159649033,1.54269108517422,0.122905745920996,0.154909320347856
"PBANKA_0000801.1",27.9888359154789,5.38545334012999,1.4224364941536,3.78607646968066,0.000153044595282965,0.000292093627798477
"PBANKA_0000901.1",5.41977911739986,3.20787141269922,1.44172772431619,2.22501888435329,0.0260799704412293,0.0369549883519892
"PBANKA_0001001.1",330.190249841007,3.05461816923432,0.400265599042931,7.63147813986057,2.32077198249394e-14,9.57086365580501e-14
"PBANKA_0001101.1",10.0304297694134,0.113878944228634,0.859952195962843,0.132424737983406,0.894648348899589,0.90928869057125
"PBANKA_0001200.1",0,NA,NA,NA,NA,NA
"PBANKA_0001201.1",62.7552475321431,2.70682227491099,0.681310734838949,3.97296290297091,7.09841077957067e-05,0.000140361747482496
"PBANKA_0001301.1",2.65338509280844,2.68745178852461,1.68007571109915,1.59960159579142,0.109686994227091,0.139545028440438
"PBANKA_0001401.1",7.60748410455059,1.05422141063844,1.21533420314698,0.867433342950977,0.385704619372574,0.43488786370639
"PBANKA_0001501.1",0.409950957056556,-0.747661436723107,1.95211726110664,-0.383000269307216,0.701719564396936,0.737635471954773
"PBANKA_0001601.1",0.0583980922208756,-0.785875257213121,1.95151879073201,-0.402699303201861,0.687169446589335,0.72544716304895
"PBANKA_0006300.1",7.52473257117594,2.9375066391431,1.24849326511944,2.35284139787656,0.0186305786661847,0.0269323143646052
"PBANKA_0006401.1",0,NA,NA,NA,NA,NA
"PBANKA_0006501.1",0,NA,NA,NA,NA,NA
"PBANKA_0006600.1",0,NA,NA,NA,NA,NA
"PBANKA_0006701.1",0,NA,NA,NA,NA,NA
"PBANKA_0006800.1",0,NA,NA,NA,NA,NA
"PBANKA_0006900.1",0,NA,NA,NA,NA,NA
"PBANKA_0007000.1",0,NA,NA,NA,NA,NA
"PBANKA_0007100.1",0,NA,NA,NA,NA,NA
"PBANKA_0007200.1",0,NA,NA,NA,NA,NA
"PBANKA_0007300.1",0,NA,NA,NA,NA,NA
"PBANKA_0007401.1",0.394146557400914,-0.794013126937704,1.95233910445884,-0.406698367678188,0.684229539527351,0.723528877182256
"PBANKA_0007501.1",0,NA,NA,NA,NA,NA
"PBANKA_0007601.1",0,NA,NA,NA,NA,NA
"PBANKA_0007701.1",5.38458393294108,1.4997745711657,1.13259509442657,1.32419306647715,0.185438932979522,0.22497945387372
"PBANKA_0007801.1",0.221370483364544,0,1.95151879073201,0,1,1
"PBANKA_0007901.1",3.72982018782314,-1.0927343790272e-05,1.2691761254249,-8.60979305501328e-06,0.99999313037905,1
"PBANKA_0008001.1",0,NA,NA,NA,NA,NA
"PBANKA_0008101.1",13.7456906945852,-3.34858040526067,1.13609616223548,-2.9474445179638,0.0032041224410569,0.00515358851283879
"PBANKA_0008201.1",3.78171477233469,1.03285277865375,1.33473238640406,0.773827614565035,0.439032740005949,0.489079705613465
"PBANKA_0008301.1",0,NA,NA,NA,NA,NA
"PBANKA_0008401.1",0,NA,NA,NA,NA,NA
"PBANKA_0008501.1",0,NA,NA,NA,NA,NA
"PBANKA_0008601.1",0,NA,NA,NA,NA,NA
"PBANKA_0008701.1",0,NA,NA,NA,NA,NA
"PBANKA_0008801.1",0.119357136734576,-0.357553376902587,1.95206382680489,-0.183166847309406,0.854667106275212,0.87695241497785
"PBANKA_0008901.1",0.181953126563503,-0.0444924689024245,1.95255952057992,-0.0227867414199031,0.981820384094247,0.985260673546008
"PBANKA_0009101.1",0.248065801922588,-0.0771382328599305,1.95264745815504,-0.0395044341147042,0.968488218365776,0.975046309201836
"PBANKA_0100021.1",2583.87130143605,-7.12481497826527,0.443275879506022,-16.0730942234101,3.93922630596236e-58,1.2015805684755e-56
"PBANKA_0100041.1",175.880015238652,-2.30117696557219,0.433558610329005,-5.30764909460787,1.11048163296122e-07,2.88971873695864e-07
"PBANKA_0100061.1",2033.6503848867,-5.06529533188198,0.403147665764636,-12.5643672580239,3.31516570599302e-36,4.09824441592183e-35
"PBANKA_0100081.1",4.1346473063376,-1.81060261690295,1.39999553847405,-1.29329170496961,0.195910188504113,0.236321381714528
"PBANKA_0100100.1",34.1985585866373,1.78305794628725,0.78348336912154,2.27580828969791,0.0228574863753091,0.032594838800752
"PBANKA_0100200.1",1192.86570461357,-0.309855372368997,0.372151555011078,-0.832605341014291,0.405067345780779,0.454631432070524
"PBANKA_0100300.1",34.2977893392985,-1.24686958144115,0.581491740263003,-2.14426017621024,0.0320120458124549,0.0446488355419927
"PBANKA_0100400.1",20625.570689148,-6.90769112683706,0.481157875466347,-14.3563921096418,9.71548637907943e-47,1.86183391390909e-45
"PBANKA_0100500.1",2555.67703189531,-1.38225376355052,0.502802066673279,-2.74910119740758,0.0059758933217076,0.00928722643153533
"PBANKA_0100600.1",2344.39951529252,-1.06310959377803,0.290861032851286,-3.65504304016409,0.00025713883552381,0.000477675926891978
"PBANKA_0100700.1",27975.1708457406,-4.03595547119896,0.353394952194817,-11.420523825066,3.30237460465274e-30,3.15254464573794e-29
"PBANKA_0100800.1",17188.9987884582,1.23113367230768,0.352587489280455,3.49171116315024,0.000479936933124187,0.000858730188961361
"PBANKA_0100900.1",18826.0161476777,-3.97715591079852,0.422021810611046,-9.42405300105221,4.34004125881037e-21,2.53661141600538e-20
"PBANKA_0101000.1",398.074734065828,0.0919571559608741,0.22321801310719,0.411961179480242,0.68036787736828,0.721220729556546
"PBANKA_0101100.1",245.245852496775,0.117848073644551,0.494485567587404,0.238324597054534,0.811629345196221,0.838802982054234
