Cluster	pvals	cluster_size	# of genes found in cluster	genes	FDR
20	0.27496646283186377	47	19	PBANKA_0600900, PBANKA_0410400, PBANKA_1216300, PBANKA_0312100, PBANKA_0926600, PBANKA_1101500, PBANKA_1427200, PBANKA_1000300, PBANKA_0833100, PBANKA_1106400, PBANKA_0407800, PBANKA_1346500, PBANKA_1127100, PBANKA_1210400, PBANKA_1431600, PBANKA_0828500, PBANKA_0832400, PBANKA_1005700, PBANKA_1139500	0.5749298768302605
23	0.3423143509253347	23	9	PBANKA_1203800, PBANKA_0916500, PBANKA_1241000, PBANKA_1450800, PBANKA_1022600, PBANKA_1143700, PBANKA_0719600, PBANKA_0818400, PBANKA_1124700	0.6561025059402248
14	0.7030800840778477	63	21	PBANKA_0609200, PBANKA_0109600, PBANKA_0401200, PBANKA_0711300, PBANKA_1363700, PBANKA_1324700, PBANKA_1132800, PBANKA_1201100, PBANKA_0518800, PBANKA_1122300, PBANKA_1425200, PBANKA_0104300, PBANKA_1132400, PBANKA_0912300, PBANKA_0820100, PBANKA_1023900, PBANKA_1460600, PBANKA_0410100, PBANKA_0209200, PBANKA_0105300, PBANKA_0405000	0.9999941001898405
21	0.7583019271885509	42	13	PBANKA_1403000, PBANKA_1134200, PBANKA_0214200, PBANKA_0714900, PBANKA_1302800, PBANKA_1111800, PBANKA_1434300, PBANKA_1145500, PBANKA_1116200, PBANKA_0811100, PBANKA_1023400, PBANKA_1244900, PBANKA_1357500	0.9999941001898405
16	0.9245862827571197	64	18	PBANKA_1435400, PBANKA_0716000, PBANKA_1129200, PBANKA_0928700, PBANKA_0407300, PBANKA_0929300, PBANKA_0402400, PBANKA_0819400, PBANKA_1241200, PBANKA_0929700, PBANKA_1240200, PBANKA_0908400, PBANKA_1107600, PBANKA_1213700, PBANKA_0104500, PBANKA_1112700, PBANKA_1441600, PBANKA_1016200	0.9999941001898405
7	0.9902862685616741	106	28	PBANKA_0933900, PBANKA_1207700, PBANKA_0408200, PBANKA_0802500, PBANKA_1352600, PBANKA_0510500, PBANKA_0111600, PBANKA_0916000, PBANKA_1206800, PBANKA_0303700, PBANKA_0809000, PBANKA_1116000, PBANKA_0417100, PBANKA_0418100, PBANKA_1230700, PBANKA_0314900, PBANKA_1349700, PBANKA_1111000, PBANKA_1303000, PBANKA_0611400, PBANKA_1463700, PBANKA_0214500, PBANKA_1315100, PBANKA_1008700, PBANKA_0503000, PBANKA_1234300, PBANKA_0112500, PBANKA_1033300	0.9999941001898405
4	0.9992169439062512	115	27	PBANKA_0502300, PBANKA_0817600, PBANKA_0931500, PBANKA_1427000, PBANKA_0619600, PBANKA_0210300, PBANKA_1000800, PBANKA_1020700, PBANKA_0710100, PBANKA_0519000, PBANKA_1024100, PBANKA_1121900, PBANKA_1449800, PBANKA_1104300, PBANKA_1465500, PBANKA_1024800, PBANKA_1438700, PBANKA_0615100, PBANKA_0404700, PBANKA_1121100, PBANKA_0933800, PBANKA_0213300, PBANKA_0613600, PBANKA_1128100, PBANKA_0930100, PBANKA_0701600, PBANKA_1005900	0.9999941001898405
2	0.9994850886200449	149	37	PBANKA_1207800, PBANKA_1242000, PBANKA_0806900, PBANKA_1219600, PBANKA_1462200, PBANKA_1311500, PBANKA_1222100, PBANKA_1138700, PBANKA_1303400, PBANKA_1039800, PBANKA_0806500, PBANKA_1017500, PBANKA_1330400, PBANKA_0902100, PBANKA_1425300, PBANKA_0905200, PBANKA_1101000, PBANKA_1216900, PBANKA_1431900, PBANKA_0825200, PBANKA_0940100, PBANKA_1238800, PBANKA_0939800, PBANKA_0203500, PBANKA_1032200, PBANKA_0404600, PBANKA_1422100, PBANKA_1438900, PBANKA_0309700, PBANKA_1121200, PBANKA_0807100, PBANKA_1346100, PBANKA_1426100, PBANKA_1141300, PBANKA_1444900, PBANKA_1100900, PBANKA_1210000	0.9999941001898405
17	0.9996623012308594	60	10	PBANKA_1006900, PBANKA_0521800, PBANKA_1230300, PBANKA_0109400, PBANKA_0308500, PBANKA_0400500, PBANKA_0112641, PBANKA_0418500, PBANKA_1005500, PBANKA_1459800	0.9999941001898405
9	0.9999431517946525	102	20	PBANKA_1221000, PBANKA_1126200, PBANKA_0814200, PBANKA_0310000, PBANKA_0108900, PBANKA_0303400, PBANKA_0315000, PBANKA_1126700, PBANKA_0603800, PBANKA_1415900, PBANKA_1231600, PBANKA_0315200, PBANKA_1404800, PBANKA_1348100, PBANKA_1244400, PBANKA_1218100, PBANKA_0102200, PBANKA_0713300, PBANKA_0111100, PBANKA_0513600	0.9999941001898405
12	0.9999698261039132	79	13	PBANKA_1038300, PBANKA_1418500, PBANKA_1419100, PBANKA_0901800, PBANKA_1430800, PBANKA_0718300, PBANKA_1020200, PBANKA_1237400, PBANKA_0409400, PBANKA_1222300, PBANKA_0604700, PBANKA_1346000, PBANKA_1014400	0.9999941001898405
10	0.9999798004034678	95	17	PBANKA_1118700, PBANKA_1445900, PBANKA_0316800, PBANKA_1351200, PBANKA_1246600, PBANKA_0836800, PBANKA_1000600, PBANKA_1102200, PBANKA_1359200, PBANKA_1400400, PBANKA_0300600, PBANKA_1400700, PBANKA_1321000, PBANKA_1441700, PBANKA_1010500, PBANKA_0623200, PBANKA_0311800	0.9999941001898405
6	0.9999941001898405	110	20	PBANKA_0831800, PBANKA_1422200, PBANKA_0906200, PBANKA_0306000, PBANKA_1120200, PBANKA_0107400, PBANKA_0806400, PBANKA_0711200, PBANKA_0413800, PBANKA_1408600, PBANKA_1110800, PBANKA_0305000, PBANKA_0615400, PBANKA_0602400, PBANKA_0823500, PBANKA_1444000, PBANKA_1404000, PBANKA_1438600, PBANKA_0209900, PBANKA_1412300	0.9999941001898405
