Cluster	pvals	cluster_size	# of genes found in cluster	genes	FDR
3	0.3120725796554873	133	62	PBANKA_1218800, PBANKA_1402200, PBANKA_0315400, PBANKA_0210600, PBANKA_1407800, PBANKA_1415600, PBANKA_0212200, PBANKA_0818500, PBANKA_1310400, PBANKA_1427800, PBANKA_0609100, PBANKA_0915300, PBANKA_1115900, PBANKA_1304000, PBANKA_1433800, PBANKA_1356300, PBANKA_1458300, PBANKA_1328100, PBANKA_0934100, PBANKA_1102800, PBANKA_1330300, PBANKA_1112500, PBANKA_1243000, PBANKA_1213000, PBANKA_1415100, PBANKA_0933100, PBANKA_1142000, PBANKA_0406000, PBANKA_0915500, PBANKA_0717300, PBANKA_0818000, PBANKA_0522000, PBANKA_0612600, PBANKA_0611500, PBANKA_1131600, PBANKA_0508100, PBANKA_0906900, PBANKA_1417900, PBANKA_0520900, PBANKA_0102600, PBANKA_1102900, PBANKA_0802700, PBANKA_1132700, PBANKA_0505100, PBANKA_0935300, PBANKA_1415300, PBANKA_1128500, PBANKA_1112900, PBANKA_1358800, PBANKA_1341000, PBANKA_1443300, PBANKA_0105600, PBANKA_1230100, PBANKA_1108300, PBANKA_1011100, PBANKA_0309200, PBANKA_1039500, PBANKA_1031300, PBANKA_0403600, PBANKA_0831000, PBANKA_0210400, PBANKA_1362000	0.6525153938251098
23	0.4705200788191465	23	10	PBANKA_0311000, PBANKA_0924500, PBANKA_1363300, PBANKA_0510400, PBANKA_0935500, PBANKA_1243900, PBANKA_1207200, PBANKA_1439900, PBANKA_1222600, PBANKA_1034700	0.9018301510700307
20	0.57232136896246	47	20	PBANKA_0810900, PBANKA_0107900, PBANKA_0512600, PBANKA_1118200, PBANKA_1442100, PBANKA_1429900, PBANKA_1423800, PBANKA_0939100, PBANKA_0931400, PBANKA_1402500, PBANKA_1346600, PBANKA_1429700, PBANKA_0504000, PBANKA_1320400, PBANKA_1136900, PBANKA_1138400, PBANKA_0602000, PBANKA_0520000, PBANKA_1348300, PBANKA_1309400	0.9795636471982464
19	0.5962561330771935	52	22	PBANKA_1035400, PBANKA_1354100, PBANKA_1319000, PBANKA_1107400, PBANKA_0102900, PBANKA_0516100, PBANKA_1312300, PBANKA_0701200, PBANKA_1102000, PBANKA_0925600, PBANKA_0810600, PBANKA_1309200, PBANKA_0809600, PBANKA_1413500, PBANKA_1210300, PBANKA_1446100, PBANKA_0521700, PBANKA_0835300, PBANKA_1432800, PBANKA_1347000, PBANKA_1033100, PBANKA_1107700	0.9795636471982464
8	0.7109165199759178	112	47	PBANKA_0414300, PBANKA_1326800, PBANKA_0206600, PBANKA_1350600, PBANKA_1118100, PBANKA_1138200, PBANKA_1337100, PBANKA_1118600, PBANKA_1036600, PBANKA_1326900, PBANKA_1013700, PBANKA_1008800, PBANKA_0939600, PBANKA_1206200, PBANKA_0104000, PBANKA_0109100, PBANKA_1030500, PBANKA_1334000, PBANKA_1235100, PBANKA_1011400, PBANKA_0800700, PBANKA_1344500, PBANKA_1421100, PBANKA_1456400, PBANKA_1304100, PBANKA_1350700, PBANKA_0936400, PBANKA_0105400, PBANKA_1224000, PBANKA_1024300, PBANKA_1206600, PBANKA_0607800, PBANKA_0610300, PBANKA_1214200, PBANKA_1240000, PBANKA_0604300, PBANKA_1004300, PBANKA_1461600, PBANKA_0805200, PBANKA_1209300, PBANKA_0706400, PBANKA_1224400, PBANKA_0812000, PBANKA_1221400, PBANKA_1003700, PBANKA_0937400, PBANKA_0834100	0.9999999999759179
21	0.7716277740740971	42	16	PBANKA_1444100, PBANKA_0816100, PBANKA_0212900, PBANKA_1308900, PBANKA_1029800, PBANKA_0406500, PBANKA_1218200, PBANKA_0405200, PBANKA_1137700, PBANKA_0606600, PBANKA_1302600, PBANKA_0413900, PBANKA_1318300, PBANKA_1215100, PBANKA_1408200, PBANKA_1015600	0.9999999999759179
11	0.8614163469366136	83	32	PBANKA_0601100, PBANKA_0826200, PBANKA_1443700, PBANKA_1212000, PBANKA_1103800, PBANKA_0409600, PBANKA_0302000, PBANKA_0803700, PBANKA_1115700, PBANKA_1359000, PBANKA_1406900, PBANKA_1431700, PBANKA_0703200, PBANKA_1352400, PBANKA_1015800, PBANKA_1124500, PBANKA_0830600, PBANKA_1338900, PBANKA_1219200, PBANKA_1426500, PBANKA_0715000, PBANKA_1209700, PBANKA_0401500, PBANKA_0808300, PBANKA_1412000, PBANKA_0415700, PBANKA_0914600, PBANKA_0817300, PBANKA_1211900, PBANKA_0917800, PBANKA_0931600, PBANKA_1240600	0.9999999999759179
22	0.9195036934074645	32	10	PBANKA_0415300, PBANKA_0927300, PBANKA_0917900, PBANKA_1309000, PBANKA_0927200, PBANKA_0206200, PBANKA_1416100, PBANKA_0938600, PBANKA_0207200, PBANKA_0301100	0.9999999999759179
18	0.977755530688763	55	17	PBANKA_0519300, PBANKA_1025900, PBANKA_0107000, PBANKA_0919500, PBANKA_1355700, PBANKA_0107800, PBANKA_1025500, PBANKA_1420000, PBANKA_0406400, PBANKA_0808000, PBANKA_0932000, PBANKA_1210200, PBANKA_0922500, PBANKA_0713200, PBANKA_0406900, PBANKA_1225700, PBANKA_1455000	0.9999999999759179
13	0.985894861072788	80	26	PBANKA_1114200, PBANKA_1021200, PBANKA_1319600, PBANKA_1134300, PBANKA_1120800, PBANKA_1105200, PBANKA_1332800, PBANKA_1442600, PBANKA_0522400, PBANKA_0907600, PBANKA_0828800, PBANKA_1355200, PBANKA_0507100, PBANKA_1228100, PBANKA_1438800, PBANKA_0828600, PBANKA_1454200, PBANKA_0812300, PBANKA_1413800, PBANKA_1200900, PBANKA_1021000, PBANKA_1318200, PBANKA_1017700, PBANKA_0207600, PBANKA_0213600, PBANKA_1432000	0.9999999999759179
15	0.999981707948853	74	16	PBANKA_0934300, PBANKA_1337400, PBANKA_0514000, PBANKA_1448500, PBANKA_1001400, PBANKA_1345700, PBANKA_1312500, PBANKA_1222500, PBANKA_1115300, PBANKA_1432500, PBANKA_1420800, PBANKA_1125200, PBANKA_1109400, PBANKA_1349900, PBANKA_1320700, PBANKA_0708400	0.9999999999759179
1	0.9999996852571428	179	49	PBANKA_1105100, PBANKA_1224700, PBANKA_0801100, PBANKA_1443000, PBANKA_0312500, PBANKA_1140300, PBANKA_1362700, PBANKA_0407400, PBANKA_0925400, PBANKA_0911700, PBANKA_0932800, PBANKA_1107100, PBANKA_0501300, PBANKA_1337600, PBANKA_0108800, PBANKA_0936500, PBANKA_1129100, PBANKA_0825400, PBANKA_0717200, PBANKA_1402600, PBANKA_0509700, PBANKA_1206900, PBANKA_1032300, PBANKA_1306000, PBANKA_0615800, PBANKA_1302000, PBANKA_1458800, PBANKA_0611600, PBANKA_0206300, PBANKA_0402100, PBANKA_0206800, PBANKA_0522700, PBANKA_1301800, PBANKA_1227400, PBANKA_0303800, PBANKA_0112100, PBANKA_1344300, PBANKA_1024900, PBANKA_0202500, PBANKA_0803100, PBANKA_1219900, PBANKA_0925100, PBANKA_0505400, PBANKA_0835600, PBANKA_1008900, PBANKA_1448900, PBANKA_1451600, PBANKA_0930200, PBANKA_1232200	0.9999999999759179
5	0.9999999999759179	109	17	PBANKA_0801800, PBANKA_1410100, PBANKA_0705600, PBANKA_1356100, PBANKA_1130900, PBANKA_1014500, PBANKA_0311400, PBANKA_0615300, PBANKA_0815100, PBANKA_1313100, PBANKA_1415400, PBANKA_0819000, PBANKA_1009200, PBANKA_1459500, PBANKA_1303900, PBANKA_1134900, PBANKA_0903800	0.9999999999759179
