pool,pool_row,pool_col,plate,plate_row,plate_col,stored_materials_id,PbGEM-ID,gene_id,design_type
"barseq_0069 plate 1",A,1,Rec00015-tar,B,7,21893,PbGEM-054729,PBANKA_131140,ko
"barseq_0069 plate 1",A,2,Rec00015-tar,C,6,21896,PbGEM-015545,PBANKA_051490,ko
"barseq_0069 plate 1",A,3,Rec00015-tar,E,10,21909,PbGEM-021287,PBANKA_070710,ko
"barseq_0069 plate 1",A,4,Rec00015-tar,G,7,21918,PbGEM-057898,PBANKA_133500,ko
"barseq_0069 plate 1",A,5,Rec00017-tar,C,12,22041,PbGEM-111802,PBANKA_135260,ko
"barseq_0069 plate 1",A,6,Rec00017-tar,D,10,22050,PbGEM-111826,PBANKA_040820,ko
"barseq_0069 plate 1",A,7,Rec00020-tar,B,3,22280,PbGEM-032866,PBANKA_093390,ko
"barseq_0069 plate 1",A,8,Rec00022-tar,B,1,22451,PbGEM-021894,PBANKA_071120,ko
"barseq_0069 plate 1",A,9,Rec00022-tar,B,4,22454,PbGEM-024371,PBANKA_080690,ko
"barseq_0069 plate 1",A,10,Rec00022-tar,E,7,22493,PbGEM-050063,PBANKA_122540,ko
"barseq_0069 plate 1",A,11,Rec00023-tar,G,2,22597,PbGEM-106899,PBANKA_133490,ko
"barseq_0069 plate 1",A,12,Rec00023-tar,G,4,22599,PbGEM-111148,PBANKA_143030,ko
"barseq_0069 plate 1",B,1,Rec00024-tar,G,1,22680,PbGEM-063795,PBANKA_141050,ko
"barseq_0069 plate 1",B,2,Rec00024-tar,H,2,22693,PbGEM-049404,PBANKA_122100,ko
"barseq_0069 plate 1",B,3,Rec00025-tar,E,5,22748,PbGEM-008620,PBANKA_021420,ko
"barseq_0069 plate 1",B,4,Rec00025-tar,E,6,22749,PbGEM-058012,PBANKA_133580,ko
"barseq_0069 plate 1",B,5,Rec00026-tar,B,2,22799,PbGEM-048959,PBANKA_121800,ko
"barseq_0069 plate 1",B,6,Rec00028-tar,D,4,23004,PbGEM-106571,PBANKA_133040,ko
"barseq_0069 plate 1",B,7,Rec00029-tar,A,6,23060,PbGEM-100931,PBANKA_114130,ko
"barseq_0069 plate 1",B,8,Rec00029-tar,B,7,23073,PbGEM-111172,PBANKA_143080,ko
"barseq_0069 plate 1",B,9,Rec00032-tar,A,8,23314,PbGEM-057298,PBANKA_133090,ko
"barseq_0069 plate 1",B,10,Rec00032-tar,C,2,23332,PbGEM-021910,PBANKA_071130,ko
"barseq_0069 plate 1",B,11,Rec00032-tar,C,4,23334,PbGEM-066521,PBANKA_143060,ko
"barseq_0069 plate 1",B,12,Rec00032-tar,D,2,23344,PbGEM-011857,PBANKA_040730,ko
"barseq_0069 plate 1",C,1,Rec00032-tar,E,10,23364,PbGEM-035437,PBANKA_100790,ko
"barseq_0069 plate 1",C,2,Rec00032-tar,H,4,23394,PbGEM-051214,PBANKA_123360,ko
"barseq_0069 plate 1",C,3,Rec00033-tar,A,12,23407,PbGEM-037288,PBANKA_102030,ko
"barseq_0069 plate 1",C,4,Rec00033-tar,B,10,23417,PbGEM-032387,PBANKA_093080,ko
"barseq_0069 plate 1",C,5,Rec00033-tar,C,5,23424,PbGEM-093488,PBANKA_091670,ko
"barseq_0069 plate 1",C,6,Rec00033-tar,H,5,23484,PbGEM-098697,PBANKA_110930,ko
"barseq_0069 plate 1",C,7,rec101_gw_trans1,C,9,286050,PbGEM-312837,PBANKA_132200,ko
"barseq_0069 plate 1",C,8,rec36_gw_trans1,A,9,144589,PbGEM-247164,PBANKA_113860,ko
"barseq_0069 plate 1",C,9,rec36_gw_trans1,A,11,144591,PbGEM-254107,PBANKA_136040,ko
"barseq_0069 plate 1",C,10,rec36_gw_trans4,E,4,144911,PbGEM-249387,PBANKA_134810,ko
