pool,pool_row,pool_col,plate,plate_row,plate_col,stored_materials_id,PbGEM-ID,gene_id,design_type
"barseq_0070 plate 1",A,1,Rec00012-tar,F,4,21862,PbGEM-065359,PBANKA_142220,ko
"barseq_0070 plate 1",A,2,Rec00017-tar,A,11,22016,PbGEM-111690,PBANKA_061670,ko
"barseq_0070 plate 1",A,3,Rec00022-tar,G,12,22521,PbGEM-090719,PBANKA_081070,ko
"barseq_0070 plate 1",A,4,Rec00023-tar,A,1,22524,PbGEM-026142,PBANKA_082020,ko
"barseq_0070 plate 1",A,5,Rec00023-tar,A,12,22535,PbGEM-041727,PBANKA_111200,ko
"barseq_0070 plate 1",A,6,Rec00023-tar,G,11,22606,PbGEM-108076,PBANKA_135210,ko
"barseq_0070 plate 1",A,7,Rec00024-tar,D,11,22655,PbGEM-022249,PBANKA_071390,ko
"barseq_0070 plate 1",A,8,Rec00025-tar,E,8,22751,PbGEM-043765,PBANKA_112620,ko
"barseq_0070 plate 1",A,9,Rec00026-tar,B,11,22808,PbGEM-057101,PBANKA_132910,ko
"barseq_0070 plate 1",A,10,Rec00029-tar,D,11,23101,PbGEM-088924,PBANKA_070700,ko
"barseq_0070 plate 1",A,11,Rec00029-tar,G,4,23130,PbGEM-111006,PBANKA_142880,ko
"barseq_0070 plate 1",A,12,Rec00030-tar,B,4,23156,PbGEM-082477,PBANKA_020970,ko
"barseq_0070 plate 1",B,1,Rec00032-tar,B,5,23323,PbGEM-027163,PBANKA_082890,ko
"barseq_0070 plate 1",B,2,Rec00032-tar,G,11,23389,PbGEM-043631,PBANKA_112530,ko
"barseq_0070 plate 1",B,3,Rec00033-tar,A,3,23398,PbGEM-061170,PBANKA_135790,ko
"barseq_0070 plate 1",B,4,Rec00033-tar,A,10,23405,PbGEM-052958,PBANKA_124660,ko
"barseq_0070 plate 1",B,5,Rec00033-tar,D,1,23432,PbGEM-111449,PBANKA_143440,ko
"barseq_0070 plate 1",B,6,rec100_gw_trans3,C,9,285120,PbGEM-311621,PBANKA_131270,ko
"barseq_0070 plate 1",B,7,rec36_gw_trans1,E,9,144637,PbGEM-255828,PBANKA_143140,ko
"barseq_0070 plate 1",B,8,rec36_gw_trans2,F,1,144734,PbGEM-243303,PBANKA_103680,ko
"barseq_0070 plate 1",B,9,rec38_gw_trans2,A,7,143192,PbGEM-235933,PBANKA_080430,ko
"barseq_0070 plate 1",B,10,rec38_gw_trans3,A,1,143279,PbGEM-226693,PBANKA_010150,ko
"barseq_0070 plate 1",B,11,rec39_gw_trans1,C,10,143870,PbGEM-230990,PBANKA_050690,ko
"barseq_0070 plate 1",B,12,rec39_gw_trans3,A,6,144028,PbGEM-261356,PBANKA_123490,ko
"barseq_0070 plate 1",C,1,rec40_gw_trans1,G,5,178467,PbGEM-245693,PBANKA_113380,ko
"barseq_0070 plate 1",C,2,rec41_gw_trans1,B,7,178781,PbGEM-248306,PBANKA_121690,ko
"barseq_0070 plate 1",C,3,rec41_gw_trans1,B,8,178782,PbGEM-237397,PBANKA_081120,ko
"barseq_0070 plate 1",C,4,rec41_gw_trans1,D,8,178806,PbGEM-246246,PBANKA_113550,ko
