pool,pool_row,pool_col,plate,plate_row,plate_col,stored_materials_id,PbGEM-ID,gene_id,design_type
"barseq_0066 plate 1",A,1,Rec00012-tar,A,8,21829,PbGEM-121266,PBANKA_111510,ko
"barseq_0066 plate 1",A,2,Rec00017-tar,D,3,22044,PbGEM-108848,PBANKA_136210,ko
"barseq_0066 plate 1",A,3,Rec00017-tar,G,7,22081,PbGEM-102303,PBANKA_121260,ko
"barseq_0066 plate 1",A,4,Rec00019-tar,A,4,22183,PbGEM-064297,PBANKA_141460,ko
"barseq_0066 plate 1",A,5,Rec00019-tar,F,2,22241,PbGEM-099883,PBANKA_112810,ko
"barseq_0066 plate 1",A,6,Rec00021-tar,A,10,22363,PbGEM-041695,PBANKA_111180,ko
"barseq_0066 plate 1",A,7,Rec00021-tar,C,2,22379,PbGEM-036306,PBANKA_101390,ko
"barseq_0066 plate 1",A,8,Rec00021-tar,D,1,22390,PbGEM-042008,PBANKA_111380,ko
"barseq_0066 plate 1",A,9,Rec00021-tar,E,2,22403,PbGEM-096105,PBANKA_101050,ko
"barseq_0066 plate 1",A,10,Rec00022-tar,D,10,22484,PbGEM-059959,PBANKA_134940,ko
"barseq_0066 plate 1",A,11,Rec00022-tar,E,1,22487,PbGEM-067210,PBANKA_143520,ko
"barseq_0066 plate 1",A,12,Rec00023-tar,C,2,22549,PbGEM-084632,PBANKA_041065,ko
"barseq_0066 plate 1",B,1,Rec00023-tar,C,4,22551,PbGEM-093381,PBANKA_091600,ko
"barseq_0066 plate 1",B,2,Rec00023-tar,G,8,22603,PbGEM-106217,PBANKA_132610,ko
"barseq_0066 plate 1",B,3,Rec00024-tar,C,8,22640,PbGEM-058661,PBANKA_134040,ko
"barseq_0066 plate 1",B,4,Rec00024-tar,D,1,22645,PbGEM-027775,PBANKA_083310,ko
"barseq_0066 plate 1",B,5,Rec00024-tar,E,7,22663,PbGEM-043181,PBANKA_112240,ko
"barseq_0066 plate 1",B,6,Rec00026-tar,F,11,22855,PbGEM-009249,PBANKA_030370,ko
"barseq_0066 plate 1",B,7,Rec00026-tar,G,1,22857,PbGEM-030952,PBANKA_091990,ko
"barseq_0066 plate 1",B,8,Rec00027-tar,B,2,22888,PbGEM-048376,PBANKA_121370,ko
"barseq_0066 plate 1",B,9,Rec00027-tar,B,12,22898,PbGEM-021746,PBANKA_071010,ko
"barseq_0066 plate 1",B,10,Rec00027-tar,E,1,22923,PbGEM-015197,PBANKA_051220,ko
"barseq_0066 plate 1",B,11,Rec00027-tar,E,6,22928,PbGEM-066015,PBANKA_142700,ko
"barseq_0066 plate 1",B,12,Rec00028-tar,E,5,23017,PbGEM-082644,PBANKA_021140,ko
"barseq_0066 plate 1",C,1,Rec00029-tar,A,5,23059,PbGEM-102772,PBANKA_122030,ko
"barseq_0066 plate 1",C,2,Rec00033-tar,G,3,23470,PbGEM-097088,PBANKA_102630,ko
"barseq_0066 plate 1",C,3,Rec00033-tar,G,10,23477,PbGEM-088353,PBANKA_062240,ko
"barseq_0066 plate 1",C,4,rec110_gw_trans1,C,7,289396,PbGEM-533427,PBANKA_030610,ko
"barseq_0066 plate 1",C,5,rec110_gw_trans1,D,10,289411,PbGEM-533467,PBANKA_030890,ko
"barseq_0066 plate 1",C,6,rec110_gw_trans1,F,1,289426,PbGEM-533195,PBANKA_011110,ko
"barseq_0066 plate 1",C,7,rec110_gw_trans1,F,10,289435,PbGEM-534107,PBANKA_061190,ko
"barseq_0066 plate 1",C,8,rec110_gw_trans1,G,8,289445,PbGEM-533851,PBANKA_051350,ko
"barseq_0066 plate 1",C,9,rec110_gw_trans2,B,3,289473,PbGEM-533419,PBANKA_030340,ko
"barseq_0066 plate 1",C,10,rec112_gw_trans1,A,3,291600,PbGEM-533099,PBANKA_010040,ko
"barseq_0066 plate 1",C,11,rec112_gw_trans2,E,7,291745,PbGEM-536539,PBANKA_130790,ko
"barseq_0066 plate 1",C,12,rec112_gw_trans4,A,2,291878,PbGEM-535235,PBANKA_100030,ko
"barseq_0066 plate 1",D,1,rec36_gw_trans1,A,2,144582,PbGEM-230537,PBANKA_040120,ko
"barseq_0066 plate 1",D,2,rec36_gw_trans1,A,7,144587,PbGEM-227922,PBANKA_011250,ko
"barseq_0066 plate 1",D,3,rec38_gw_trans4,C,9,143404,PbGEM-241876,PBANKA_094230,ko
"barseq_0066 plate 1",D,4,rec39_gw_trans1,F,10,143906,PbGEM-257126,PBANKA_144980,ko
"barseq_0066 plate 1",D,5,rec40_gw_trans3,A,2,178578,PbGEM-239781,PBANKA_093350,ko
"barseq_0066 plate 1",D,6,rec41_gw_trans3,E,4,179000,PbGEM-247352,PBANKA_113950,ko
"barseq_0066 plate 1",D,7,rec42_gw_trans1,C,3,180649,PbGEM-232294,PBANKA_051660,ko
"barseq_0066 plate 1",D,8,rec43_gw_trans1,G,4,181070,PbGEM-226701,PBANKA_010160,ko
"barseq_0066 plate 1",D,9,rec45_gw_trans1,F,7,142787,PbGEM-264852,PBANKA_143860,ko
"barseq_0066 plate 1",D,10,rec46_gw_trans1,C,9,141543,PbGEM-298717,PBANKA_110780,ko
"barseq_0066 plate 1",D,11,rec46_gw_trans2,B,8,141648,PbGEM-326459,PBANKA_146370,ko
"barseq_0066 plate 1",D,12,rec46_gw_trans2,D,11,141675,PbGEM-305946,PBANKA_121770,ko
"barseq_0066 plate 1",E,1,rec47_gw_trans1,G,1,142445,PbGEM-240478,PBANKA_092160,ko
"barseq_0066 plate 1",E,2,rec47_gw_trans2,G,11,142542,PbGEM-236932,PBANKA_080900,ko
"barseq_0066 plate 1",E,3,rec47_gw_trans4,H,3,142720,PbGEM-249381,PBANKA_121970,ko
"barseq_0066 plate 1",E,4,rec48_gw_trans1,E,7,143519,PbGEM-275858,PBANKA_051820,ko
"barseq_0066 plate 1",E,5,rec48_gw_trans4,B,10,143765,PbGEM-295934,PBANKA_102620,ko
"barseq_0066 plate 1",E,6,rec49_gw_trans1,B,10,144230,PbGEM-237320,PBANKA_090850,ko
"barseq_0066 plate 1",E,7,rec49_gw_trans4,B,3,144502,PbGEM-236279,PBANKA_080590,ko
"barseq_0066 plate 1",E,8,rec50_gw_trans1,A,9,134245,PbGEM-333619,PBANKA_100870,ko
"barseq_0066 plate 1",E,9,rec50_gw_trans1,B,7,134255,PbGEM-328723,PBANKA_031660,ko
"barseq_0066 plate 1",E,10,rec50_gw_trans4,C,11,134550,PbGEM-334763,PBANKA_110430,ko
"barseq_0066 plate 1",E,11,rec51_gw_trans2,A,2,152115,PbGEM-303882,PBANKA_120290,ko
"barseq_0066 plate 1",E,12,rec52_gw_trans2,B,3,152500,PbGEM-330747,PBANKA_070850,ko
"barseq_0066 plate 1",F,1,rec53_gw_trans1,E,12,182338,PbGEM-336371,PBANKA_121180,ko
"barseq_0066 plate 1",F,2,rec53_gw_trans4,D,3,182596,PbGEM-341067,PBANKA_145980,ko
"barseq_0066 plate 1",F,3,rec55_gw_trans1,G,9,134689,PbGEM-229203,PBANKA_020830,ko
"barseq_0066 plate 1",F,4,rec55_gw_trans3,B,11,134817,PbGEM-245543,PBANKA_113340,ko
"barseq_0066 plate 1",F,5,rec57_gw_trans1,B,11,186837,PbGEM-300555,PBANKA_112230,ko
"barseq_0066 plate 1",F,6,rec58_gw_trans1,D,6,187960,PbGEM-338835,PBANKA_135120,ko
"barseq_0066 plate 1",F,7,rec59_gw_trans1,D,7,189121,PbGEM-292488,PBANKA_100060,ko
"barseq_0066 plate 1",F,8,rec59_gw_trans1,E,10,189136,PbGEM-334827,PBANKA_110640,ko
"barseq_0066 plate 1",F,9,rec60_gw_trans2,A,8,208952,PbGEM-276922,PBANKA_060150,ko
"barseq_0066 plate 1",F,10,rec61_gw_trans1,D,4,209999,PbGEM-331827,PBANKA_082640,ko
