pool,pool_row,pool_col,plate,plate_row,plate_col,stored_materials_id,PbGEM-ID,gene_id,design_type
"barseq_0076 plate 1",A,1,Rec00011-tar,B,11,21823,PbGEM-034462,PBANKA_100150,ko
"barseq_0076 plate 1",A,2,Rec00012-tar,E,1,21855,PbGEM-121314,PBANKA_130470,ko
"barseq_0076 plate 1",A,3,Rec00019-tar,B,5,22196,PbGEM-034599,PBANKA_100240,ko
"barseq_0076 plate 1",A,4,Rec00025-tar,A,5,22702,PbGEM-062476,PBANKA_140160,ko
"barseq_0076 plate 1",A,5,Rec00025-tar,C,7,22727,PbGEM-039254,PBANKA_103440,ko
"barseq_0076 plate 1",A,6,Rec00027-tar,A,11,22885,PbGEM-122074,PBANKA_110420,ko
"barseq_0076 plate 1",A,7,Rec00027-tar,B,7,22893,PbGEM-026953,PBANKA_082750,ko
"barseq_0076 plate 1",A,8,Rec00027-tar,F,3,22937,PbGEM-053942,PBANKA_130620,ko
"barseq_0076 plate 1",A,9,Rec00027-tar,H,1,22959,PbGEM-033491,PBANKA_093850,ko
"barseq_0076 plate 1",A,10,Rec00028-tar,C,8,22996,PbGEM-098459,PBANKA_110650,ko
"barseq_0076 plate 1",A,11,Rec00028-tar,G,6,23042,PbGEM-084472,PBANKA_040760,ko
"barseq_0076 plate 1",A,12,Rec00029-tar,C,6,23084,PbGEM-093744,PBANKA_092110,ko
"barseq_0076 plate 1",B,1,Rec00029-tar,D,12,23102,PbGEM-108701,PBANKA_136000,ko
"barseq_0076 plate 1",B,2,Rec00029-tar,E,3,23105,PbGEM-122090,PBANKA_061510,ko
"barseq_0076 plate 1",B,3,Rec00030-tar,D,1,23177,PbGEM-083023,PBANKA_030240,ko
"barseq_0076 plate 1",B,4,Rec00031-tar,B,12,23247,PbGEM-010018,PBANKA_030960,ko
"barseq_0076 plate 1",B,5,Rec00033-tar,G,2,23469,PbGEM-108933,PBANKA_136320,ko
"barseq_0076 plate 1",B,6,rec39_gw_trans1,B,12,143860,PbGEM-230776,PBANKA_050570,ko
"barseq_0076 plate 1",B,7,rec39_gw_trans2,B,5,143946,PbGEM-263108,PBANKA_101520,ko
"barseq_0076 plate 1",B,8,rec40_gw_trans1,C,5,178419,PbGEM-234590,PBANKA_061610,ko
"barseq_0076 plate 1",B,9,rec41_gw_trans1,F,11,178833,PbGEM-231569,PBANKA_051140,ko
"barseq_0076 plate 1",B,10,rec47_gw_trans1,D,9,142417,PbGEM-232246,PBANKA_051630,ko
"barseq_0076 plate 1",B,11,rec47_gw_trans4,A,10,142643,PbGEM-234393,PBANKA_070740,ko
"barseq_0076 plate 1",B,12,rec48_gw_trans4,H,4,143831,PbGEM-319971,PBANKA_141110,ko
"barseq_0076 plate 1",C,1,rec50_gw_trans4,C,1,134540,PbGEM-289209,PBANKA_091710,ko
"barseq_0076 plate 1",C,2,rec51_gw_trans4,A,7,152306,PbGEM-334659,PBANKA_110140,ko
"barseq_0076 plate 1",C,3,rec52_gw_trans1,E,1,152441,PbGEM-305242,PBANKA_121220,ko
"barseq_0076 plate 1",C,4,rec52_gw_trans2,D,6,152527,PbGEM-270187,PBANKA_030770,ko
"barseq_0076 plate 1",C,5,rec53_gw_trans1,H,9,182371,PbGEM-286410,PBANKA_083290,ko
"barseq_0076 plate 1",C,6,rec54_gw_trans2,F,6,154411,PbGEM-334355,PBANKA_103210,ko
"barseq_0076 plate 1",C,7,rec54_gw_trans3,C,3,154465,PbGEM-331195,PBANKA_080130,ko
"barseq_0076 plate 1",C,8,rec54_gw_trans3,F,1,154499,PbGEM-316019,PBANKA_134640,ko
"barseq_0076 plate 1",C,9,rec54_gw_trans4,E,2,154581,PbGEM-332331,PBANKA_090610,ko
"barseq_0076 plate 1",C,10,rec55_gw_trans2,C,10,134735,PbGEM-240525,PBANKA_093690,ko
"barseq_0076 plate 1",C,11,rec55_gw_trans2,E,8,134757,PbGEM-253918,PBANKA_132090,ko
"barseq_0076 plate 1",C,12,rec55_gw_trans3,E,4,134846,PbGEM-236287,PBANKA_071700,ko
