pool,pool_row,pool_col,plate,plate_row,plate_col,stored_materials_id,PbGEM-ID,gene_id,design_type
"barseq_0078 plate 1",A,1,Rec00012-tar,A,6,21827,PbGEM-121258,PBANKA_101810,ko
"barseq_0078 plate 1",A,2,Rec00017-tar,C,8,22037,PbGEM-087803,PBANKA_061520,ko
"barseq_0078 plate 1",A,3,Rec00019-tar,A,6,22185,PbGEM-065482,PBANKA_142310,ko
"barseq_0078 plate 1",A,4,Rec00020-tar,E,3,22316,PbGEM-061533,PBANKA_136030,ko
"barseq_0078 plate 1",A,5,Rec00021-tar,C,7,22384,PbGEM-062848,PBANKA_140410,ko
"barseq_0078 plate 1",A,6,Rec00021-tar,F,7,22420,PbGEM-109041,PBANKA_136440,ko
"barseq_0078 plate 1",A,7,Rec00024-tar,B,8,22628,PbGEM-011485,PBANKA_040480,ko
"barseq_0078 plate 1",A,8,Rec00027-tar,D,5,22915,PbGEM-065418,PBANKA_142270,ko
"barseq_0078 plate 1",A,9,Rec00028-tar,E,2,23014,PbGEM-092506,PBANKA_090140,ko
"barseq_0078 plate 1",A,10,Rec00029-tar,C,2,23080,PbGEM-108389,PBANKA_135620,ko
"barseq_0078 plate 1",A,11,Rec00032-tar,A,9,23315,PbGEM-019700,PBANKA_061920,ko
"barseq_0078 plate 1",A,12,Rec00032-tar,B,4,23322,PbGEM-041538,PBANKA_111060,ko
"barseq_0078 plate 1",B,1,Rec00034-tar,F,7,23551,PbGEM-029428,PBANKA_090870,ko
"barseq_0078 plate 1",B,2,rec38_gw_trans1,D,10,143138,PbGEM-232966,PBANKA_070100,ko
"barseq_0078 plate 1",B,3,rec39_gw_trans1,E,6,143890,PbGEM-230925,PBANKA_050650,ko
"barseq_0078 plate 1",B,4,rec39_gw_trans1,F,3,143899,PbGEM-256413,PBANKA_144690,ko
"barseq_0078 plate 1",B,5,rec41_gw_trans1,D,3,178801,PbGEM-229398,PBANKA_040670,ko
"barseq_0078 plate 1",B,6,rec41_gw_trans2,C,6,178885,PbGEM-231102,PBANKA_041690,ko
"barseq_0078 plate 1",B,7,rec41_gw_trans2,G,7,178934,PbGEM-259444,PBANKA_082400,ko
"barseq_0078 plate 1",B,8,rec42_gw_trans1,F,1,180683,PbGEM-248353,PBANKA_112780,ko
"barseq_0078 plate 1",B,9,rec44_gw_trans1,A,11,142011,PbGEM-264676,PBANKA_100360,ko
"barseq_0078 plate 1",B,10,rec51_gw_trans4,B,11,152322,PbGEM-296470,PBANKA_103080,ko
