pool,pool_row,pool_col,plate,plate_row,plate_col,stored_materials_id,PbGEM-ID,gene_id,design_type
"barseq_0077 plate 1",A,1,Rec00017-tar,E,2,22054,PbGEM-111850,PBANKA_092550,ko
"barseq_0077 plate 1",A,2,Rec00021-tar,C,8,22385,PbGEM-020158,PBANKA_062250,ko
"barseq_0077 plate 1",A,3,Rec00021-tar,C,9,22386,PbGEM-046313,PBANKA_114470,ko
"barseq_0077 plate 1",A,4,Rec00025-tar,C,1,22721,PbGEM-041928,PBANKA_111330,ko
"barseq_0077 plate 1",A,5,Rec00027-tar,C,11,22909,PbGEM-050934,PBANKA_123150,ko
"barseq_0077 plate 1",A,6,Rec00027-tar,G,5,22951,PbGEM-029668,PBANKA_091020,ko
"barseq_0077 plate 1",A,7,Rec00028-tar,C,5,22993,PbGEM-093581,PBANKA_091820,ko
"barseq_0077 plate 1",A,8,Rec00028-tar,G,7,23043,PbGEM-098813,PBANKA_111100,ko
"barseq_0077 plate 1",A,9,Rec00029-tar,C,8,23086,PbGEM-083560,PBANKA_030980,ko
"barseq_0077 plate 1",A,10,Rec00030-tar,D,12,23188,PbGEM-109800,PBANKA_140980,ko
"barseq_0077 plate 1",A,11,rec100_gw_trans4,H,8,285272,PbGEM-332731,PBANKA_092140,ko
"barseq_0077 plate 1",A,12,rec110_gw_trans1,A,6,289371,PbGEM-534459,PBANKA_080050,ko
"barseq_0077 plate 1",B,1,rec39_gw_trans1,D,10,143882,PbGEM-257004,PBANKA_143620,ko
"barseq_0077 plate 1",B,2,rec39_gw_trans1,E,11,143895,PbGEM-242674,PBANKA_103410,ko
"barseq_0077 plate 1",B,3,rec39_gw_trans1,G,8,143916,PbGEM-261556,PBANKA_123820,ko
"barseq_0077 plate 1",B,4,rec39_gw_trans2,D,3,143968,PbGEM-246270,PBANKA_121010,ko
"barseq_0077 plate 1",B,5,rec39_gw_trans4,E,7,144170,PbGEM-249676,PBANKA_133180,ko
"barseq_0077 plate 1",B,6,rec41_gw_trans1,F,5,178827,PbGEM-239300,PBANKA_091660,ko
"barseq_0077 plate 1",B,7,rec42_gw_trans1,G,3,180697,PbGEM-239805,PBANKA_082100,ko
"barseq_0077 plate 1",B,8,rec44_gw_trans1,C,12,142036,PbGEM-265292,PBANKA_051980,ko
"barseq_0077 plate 1",B,9,rec44_gw_trans1,F,5,142065,PbGEM-265348,PBANKA_101440,ko
"barseq_0077 plate 1",B,10,rec45_gw_trans4,H,7,143090,PbGEM-265004,PBANKA_131170,ko
"barseq_0077 plate 1",B,11,rec47_gw_trans1,C,10,142406,PbGEM-239470,PBANKA_081970,ko
"barseq_0077 plate 1",B,12,rec47_gw_trans4,E,12,142693,PbGEM-229837,PBANKA_040860,ko
"barseq_0077 plate 1",C,1,rec48_gw_trans1,G,2,143538,PbGEM-270259,PBANKA_030820,ko
"barseq_0077 plate 1",C,2,rec48_gw_trans4,B,1,143756,PbGEM-294894,PBANKA_101840,ko
"barseq_0077 plate 1",C,3,rec48_gw_trans4,F,11,143814,PbGEM-324795,PBANKA_145030,ko
"barseq_0077 plate 1",C,4,rec49_gw_trans1,B,1,144221,PbGEM-279586,PBANKA_062140,ko
"barseq_0077 plate 1",C,5,rec49_gw_trans1,B,2,144222,PbGEM-313645,PBANKA_132790,ko
"barseq_0077 plate 1",C,6,rec51_gw_trans2,C,5,152142,PbGEM-334339,PBANKA_103170,ko
"barseq_0077 plate 1",C,7,rec52_gw_trans1,H,3,152479,PbGEM-273050,PBANKA_041590,ko
"barseq_0077 plate 1",C,8,rec53_gw_trans1,F,3,182341,PbGEM-332267,PBANKA_090260,ko
"barseq_0077 plate 1",C,9,rec53_gw_trans2,F,4,182435,PbGEM-335251,PBANKA_112010,ko
"barseq_0077 plate 1",C,10,rec53_gw_trans2,G,5,182448,PbGEM-285114,PBANKA_082160,ko
"barseq_0077 plate 1",C,11,rec53_gw_trans3,D,10,182510,PbGEM-303714,PBANKA_120180,ko
"barseq_0077 plate 1",C,12,rec53_gw_trans3,E,1,182513,PbGEM-327723,PBANKA_010630,ko
"barseq_0077 plate 1",D,1,rec55_gw_trans4,F,8,134955,PbGEM-253924,PBANKA_142600,ko
"barseq_0077 plate 1",D,2,rec55_gw_trans4,H,4,134975,PbGEM-262852,PBANKA_101160,ko
"barseq_0077 plate 1",D,3,rec56_gw_trans1,D,3,182861,PbGEM-264692,PBANKA_131600,ko
"barseq_0077 plate 1",D,4,rec57_gw_trans3,C,9,187027,PbGEM-270978,PBANKA_031340,ko
"barseq_0077 plate 1",D,5,rec58_gw_trans1,C,7,187949,PbGEM-291880,PBANKA_093890,ko
"barseq_0077 plate 1",D,6,rec58_gw_trans1,D,10,187964,PbGEM-281562,PBANKA_071230,ko
"barseq_0077 plate 1",D,7,rec60_gw_trans2,G,7,209023,PbGEM-320323,PBANKA_141440,ko
"barseq_0077 plate 1",D,8,rec61_gw_trans1,A,3,209962,PbGEM-289113,PBANKA_091640,ko
"barseq_0077 plate 1",D,9,rec61_gw_trans1,B,10,209981,PbGEM-306506,PBANKA_122200,ko
"barseq_0077 plate 1",D,10,rec61_gw_trans1,H,2,210045,PbGEM-317419,PBANKA_135800,ko
"barseq_0077 plate 1",D,11,rec62_gw_trans3,G,1,207282,PbGEM-341812,PBANKA_031190,ko
"barseq_0077 plate 1",D,12,rec63_gw_trans1,B,10,207417,PbGEM-342604,PBANKA_111630,ko
"barseq_0077 plate 1",E,1,rec64_gw_trans2,B,8,207872,PbGEM-342668,PBANKA_113180,ko
"barseq_0077 plate 1",E,2,rec66_gw_trans2,E,1,215992,PbGEM-267235,PBANKA_011040,ko
"barseq_0077 plate 1",E,3,rec66_gw_trans3,F,6,216102,PbGEM-328667,PBANKA_031330,ko
"barseq_0077 plate 1",E,4,rec67_gw_trans2,G,12,218759,PbGEM-335923,PBANKA_114230,ko
"barseq_0077 plate 1",E,5,rec74_gw_trans2,B,4,229424,PbGEM-297933,PBANKA_110170,ko
"barseq_0077 plate 1",E,6,rec74_gw_trans2,E,4,229460,PbGEM-283154,PBANKA_080360,ko
"barseq_0077 plate 1",E,7,rec74_gw_trans2,G,5,229485,PbGEM-330667,PBANKA_070570,ko
"barseq_0077 plate 1",E,8,rec75_gw_trans1,C,3,231574,PbGEM-293232,PBANKA_100500,ko
"barseq_0077 plate 1",E,9,rec75_gw_trans3,G,5,231810,PbGEM-304722,PBANKA_120850,ko
"barseq_0077 plate 1",E,10,rec75_gw_trans4,D,3,231865,PbGEM-266819,PBANKA_010660,ko
"barseq_0077 plate 1",E,11,rec79_gw_trans1,G,4,239639,PbGEM-335203,PBANKA_111850,ko
"barseq_0077 plate 1",E,12,rec80_gw_trans2,D,4,240812,PbGEM-331067,PBANKA_072020,ko
"barseq_0077 plate 1",F,1,rec81_gw_trans1,D,1,244064,PbGEM-336739,PBANKA_122270,ko
"barseq_0077 plate 1",F,2,rec82_gw_trans1,H,8,257317,PbGEM-322275,PBANKA_143160,ko
"barseq_0077 plate 1",F,3,rec83_gw_trans1,C,7,246290,PbGEM-307522,PBANKA_122960,ko
"barseq_0077 plate 1",F,4,rec85_gw_trans2,H,8,253504,PbGEM-340675,PBANKA_144790,ko
"barseq_0077 plate 1",F,5,rec85_gw_trans2,H,9,253505,PbGEM-315947,PBANKA_134580,ko
"barseq_0077 plate 1",F,6,rec95_gw_trans1,B,3,275554,PbGEM-336571,PBANKA_121710,ko
"barseq_0077 plate 1",F,7,rec95_gw_trans1,C,5,275568,PbGEM-227604,PBANKA_010950,ko
"barseq_0077 plate 1",F,8,rec95_gw_trans4,G,9,275899,PbGEM-330683,PBANKA_070590,ko
