pool,pool_row,pool_col,plate,plate_row,plate_col,stored_materials_id,PbGEM-ID,gene_id,design_type
"barseq_0065 plate 1",A,1,Rec00017-tar,A,2,22007,PbGEM-104812,PBANKA_130690,ko
"barseq_0065 plate 1",A,2,Rec00019-tar,B,6,22197,PbGEM-031109,PBANKA_092180,ko
"barseq_0065 plate 1",A,3,Rec00019-tar,F,5,22244,PbGEM-097658,PBANKA_103520,ko
"barseq_0065 plate 1",A,4,Rec00020-tar,C,9,22298,PbGEM-016974,PBANKA_052430,ko
"barseq_0065 plate 1",A,5,Rec00021-tar,C,11,22388,PbGEM-005714,PBANKA_010460,ko
"barseq_0065 plate 1",A,6,Rec00021-tar,E,12,22413,PbGEM-079278,PBANKA_143660,ko
"barseq_0065 plate 1",A,7,Rec00021-tar,F,1,22414,PbGEM-099323,PBANKA_112040,ko
"barseq_0065 plate 1",A,8,Rec00022-tar,G,9,22518,PbGEM-098495,PBANKA_110690,ko
"barseq_0065 plate 1",A,9,Rec00024-tar,A,7,22615,PbGEM-009429,PBANKA_030500,ko
"barseq_0065 plate 1",A,10,Rec00024-tar,D,6,22650,PbGEM-057987,PBANKA_133560,ko
"barseq_0065 plate 1",A,11,Rec00025-tar,D,6,22737,PbGEM-015379,PBANKA_051360,ko
"barseq_0065 plate 1",A,12,Rec00026-tar,B,1,22798,PbGEM-006127,PBANKA_010740,ko
"barseq_0065 plate 1",B,1,Rec00027-tar,A,12,22886,PbGEM-083189,PBANKA_030510,ko
"barseq_0065 plate 1",B,2,Rec00028-tar,D,3,23003,PbGEM-108369,PBANKA_135590,ko
"barseq_0065 plate 1",B,3,Rec00028-tar,E,6,23018,PbGEM-096918,PBANKA_102340,ko
"barseq_0065 plate 1",B,4,Rec00029-tar,A,3,23057,PbGEM-094275,PBANKA_092980,ko
"barseq_0065 plate 1",B,5,Rec00029-tar,A,10,23064,PbGEM-090491,PBANKA_080630,ko
"barseq_0065 plate 1",B,6,Rec00029-tar,F,3,23117,PbGEM-087458,PBANKA_061110,ko
"barseq_0065 plate 1",B,7,Rec00031-tar,F,9,23292,PbGEM-086796,PBANKA_052320,ko
"barseq_0065 plate 1",B,8,Rec00032-tar,A,1,23307,PbGEM-052172,PBANKA_124100,ko
"barseq_0065 plate 1",B,9,Rec00032-tar,A,6,23312,PbGEM-061725,PBANKA_136150,ko
"barseq_0065 plate 1",B,10,Rec00032-tar,D,7,23349,PbGEM-064794,PBANKA_141810,ko
