gene,normd7toinputA
PBANKA_010290,8.504272944707812e-4
PBANKA_020460,9.664022178690667e-4
PBANKA_030670,4.620234572980873e-4
PBANKA_031140,0.0016177380517985549
PBANKA_031480,1.6266704101275884
PBANKA_041600,2.7845402989376344e-4
PBANKA_051490,0.5590471948860629
PBANKA_051500,1.2173793989089767
PBANKA_051520,0.4249524038564124
PBANKA_052170,2.94756766456597e-4
PBANKA_062240,0.20698836104657964
PBANKA_072150,0.014602074205781294
PBANKA_080220,0.00327682718325134
PBANKA_080960,1.4365913764429795e-4
PBANKA_081700,0.16030677991106002
PBANKA_082490,0.022185063433295276
PBANKA_082870,1.3119107682693006e-4
PBANKA_083560,9.527623719338871e-4
PBANKA_090380,0.0018093050514663635
PBANKA_090590,0.0355575141174242
PBANKA_091030,0.0010751589263934304
PBANKA_091170,5.738902928347661e-4
PBANKA_093210,1.0462854174743335
PBANKA_100240,0.12141124405935959
PBANKA_102010,8.595276263309575e-5
PBANKA_103440,0.31963992193498386
PBANKA_103540,4.4144869583498995e-5
PBANKA_103780,1
PBANKA_110420,0.15205221833269766
PBANKA_110650,0.03329696957316815
PBANKA_110690,0.10397832768719285
PBANKA_111530,6.874190655122063e-4
PBANKA_112810,0.23887976291607516
PBANKA_113780,2.0927165148467797e-4
PBANKA_120200,0.05825328067955231
PBANKA_120800,0.4538081270389274
PBANKA_122440,0.002013455789158688
PBANKA_122540,0.5787707452608339
PBANKA_122740,0.001165785259910338
PBANKA_123730,0.43399313094453806
PBANKA_124060,0.006039817390950862
PBANKA_130520,1.386757912413479
PBANKA_133580,0.6191939923356334
PBANKA_133660,0.5003046200067525
PBANKA_133890,6.238748715296005e-4
PBANKA_136440,0.6502554998970088
PBANKA_140160,0.09169876375226707
PBANKA_142310,0.63010560918661
PBANKA_145910,0.4651466219464816
PBANKA_146060,1.4598156256808577
PBANKA_010260,0.006005442709924239
PBANKA_010630,0.02270925859463928
PBANKA_011160,0.7663526639932763
PBANKA_021450,1.1399786821807556
