"","interpro","Domain"
"201","IPR000096","PIRSF002472"
"202","IPR000096","PR00306"
"203","IPR000096","PS00992"
"204","IPR000096","SM00197"
"205","IPR000098","PR01294"
"206","IPR000100","PTHR33992"
"207","IPR000100","PF00825"
"208","IPR000100","PD003629"
"209","IPR000100","TIGR00188"
"210","IPR000100","MF_00227"
"211","IPR000101","PTHR11686"
"212","IPR000101","PTHR43199"
"213","IPR000101","PF01019"
"214","IPR000101","PR01210"
"215","IPR000101","PS00462"
"216","IPR000101","TIGR00066"
"217","IPR000102","PF00414"
"218","IPR000102","PS00230"
"219","IPR000103","PR00469"
"220","IPR000104","PR00308"
"221","IPR000105","PR00537"
"222","IPR000109","PTHR11654"
"223","IPR000109","PF00854"
"224","IPR000110","PIRSF002111"
"225","IPR000110","TIGR00717"
"226","IPR000111","PS00512"
"227","IPR000112","PR01056"
"228","IPR000114","PTHR12220"
"229","IPR000114","PR00060"
"230","IPR000114","TIGR01164"
"231","IPR000114","MF_01342"
"232","IPR000115","TIGR00877"
"233","IPR000115","MF_00138"
"234","IPR000116","PR00930"
"235","IPR000117","PTHR11470"
"236","IPR000117","PF00997"
"237","IPR000117","PIRSF002374"
"238","IPR000118","PF00396"
"239","IPR000118","PS00799"
"240","IPR000118","SM00277"
"241","IPR000119","PF00216"
"242","IPR000119","PR01727"
"243","IPR000119","SM00411"
"244","IPR000120","PTHR11895"
"245","IPR000121","PF02896"
"246","IPR000123","PR00866"
"247","IPR000124","PS00985"
"248","IPR000124","PS00986"
"249","IPR000125","PR00841"
"250","IPR000126","PS00673"
"251","IPR000128","PF02161"
"252","IPR000128","PR00544"
"253","IPR000131","PF00231"
"254","IPR000131","PR00126"
"255","IPR000131","TIGR01146"
"256","IPR000131","SSF52943"
"257","IPR000131","MF_00815"
"258","IPR000131","cd12151"
"259","IPR000132","PS00920"
"260","IPR000132","PS00921"
"261","IPR000133","PTHR10585"
"262","IPR000133","PF00810"
"263","IPR000133","PR00660"
"264","IPR000133","PS00951"
"265","IPR000133","PS00952"
"266","IPR000136","PF01277"
"267","IPR000136","PS00811"
"268","IPR000138","PS01062"
"269","IPR000141","PTHR11866:SF22"
"270","IPR000141","PR00855"
"271","IPR000142","PTHR24231:SF65"
"272","IPR000142","PR00595"
"273","IPR000143","PR00226"
