GeneID	asexual1	asexual2	asexual3	female1	female2	female3	male1	male2	male3
PBANKA_1318600	16.924001307583	140.774919634936	25.3273227206448	14639.6572163264	15253.1831818095	14912.1655021219	261.732700872587	533.813585673126	372.532794872564
PBANKA_1318700	1.15718810740341	14.8753326605051	1.79299412464112	19.7192968714622	18.4423959279491	23.9824712322379	179.665655517985	136.58952015188	150.684572534176
PBANKA_1318800	18.6639191958413	80.0878728536626	27.4870169061261	1013.61584623411	1124.0330562081	1143.67636003657	544.819876220668	481.741189175742	453.089979520077
PBANKA_1318900	216.471321958264	310.574702463256	197.946551360379	90.4136468800374	93.1682520211949	88.0907392076105	1020.08750827981	881.047633297555	915.395781693567
PBANKA_1319000	1.9893320067339	6.80316925043134	4.70759151564379	796.782403909531	708.907394073427	693.881103730307	6.72094519597559	22.7955869265183	19.8469363581837
PBANKA_1319100	57.0113402397098	86.7165494184519	69.0154784625496	222.809949779551	175.738216530105	226.333614079654	140.932992777547	127.267637001608	146.56777447499
PBANKA_1319200	171.211542505582	176.201801322315	148.849402880693	48.8249669957739	49.6696265971836	51.5889238467943	58.9046468983602	77.3511519772717	71.9095263570741
PBANKA_1319300	3.18175922190161	12.387882530261	7.76855797885601	1.87816962739954	3.88468560677232	2.00448374368091	4.94800725985836	7.96873078939657	4.8201320892735
PBANKA_1319400	24.7882346161835	31.9720718697282	27.3284938985723	10.673389711444	9.46991551987531	11.8750649739836	80.0896172633113	53.1415984461397	73.4336645252798
PBANKA_1319500	1.00963543119571	3.97125072574369	1.40793302845368	2200.59597758011	1760.00133422813	1720.48401389014	30.8046996290292	50.3510627011913	43.7932895496667
PBANKA_1319600	84.9383969729033	97.4490629479077	89.1498708733504	5.56449430418962	6.33909278312215	5.88514104075677	72.2669398565632	75.0450479364394	76.96332587476
PBANKA_1319700	4.58960688499972	13.1791166025936	4.18704053074087	38.4114169139593	40.2187478509104	36.8634756183589	124.613004455045	104.863777784511	114.998175721381
PBANKA_1319800	65.3376241580005	38.5586279762178	49.6537374987212	6.66630890239121	7.94931344602643	8.86016602899205	6.37433364024066	12.2946421361533	15.1409617577897
PBANKA_1319900	25.4909189232775	19.8781071544911	21.1671432748733	1.29101387431152	2.37905615826615	2.6183198959159	3.86062780496663	6.90918316188632	7.14732552387317
PBANKA_1320000	13.1520413862125	15.3396974334284	12.0911280114649	2.47751710165497	2.97590708919959	2.57975549434815	2.14551416388061	6.42554034055428	5.97879452552566
