	identity_updated	genetic_background	Genotypes	n_genes_by_counts	log1p_n_genes_by_counts	total_counts	log1p_total_counts	umap1	umap2
SC22530_1_166	WT	PBANKA	wild type	1463	7.288927694521257	8213.244	9.013625	-3.2203667	14.204572
SC22530_1_167	WT	PBANKA	wild type	2415	7.789868559054706	11660.764	9.364071	10.570269	13.785919
SC22530_1_168	WT	PBANKA	wild type	1534	7.336285660021297	8678.374	9.068705	-2.7010806	14.549958
SC22530_1_16	GCSKO-2	PBANKA	md3 PBANKA_0102400	2065	7.633369649679584	10342.523	9.244116	1.4504797	0.53816026
SC22530_1_172	WT	PBANKA	wild type	466	6.1463292576688975	3293.2063	8.09992	7.5596247	0.18807343
SC22530_1_177	WT	PBANKA	wild type	1496	7.311218384419629	8490.8545	9.046863	-2.666026	14.452943
SC22530_1_178	WT	PBANKA	wild type	2040	7.621195162809845	10994.654	9.305255	0.8173848	0.6042067
SC22530_1_179	WT	PBANKA	wild type	2502	7.8252452914317745	11868.113	9.381695	10.230891	13.873135
SC22530_1_180	WT	PBANKA	wild type	2668	7.889459149404524	12728.976	9.4517145	11.041547	14.440638
SC22530_1_181	WT	PBANKA	wild type	979	6.887552571664617	5269.177	8.569819	11.19864	-1.8939117
SC22530_1_182	WT	PBANKA	wild type	2045	7.6236419465115715	10995.443	9.305327	-0.4300741	1.1245775
SC22530_1_183	WT	PBANKA	wild type	2417	7.790696031174738	12634.588	9.444273	-0.440892	0.84733754
SC22530_1_184	WT	PBANKA	wild type	929	6.835184586147301	5102.9165	8.537764	10.125692	1.2393714
SC22530_1_18	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1173	7.068172000388042	6661.9062	8.804311	1.385929	-9.388859
SC22530_1_194	GCSKO-17	PBANKA	fd3   PBANKA_1418100	2081	7.641084249174914	11326.824	9.335017	-0.38588706	0.81754726
SC22530_1_195	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1446	7.277247726631484	8237.291	9.016548	-2.7059202	13.245858
SC22530_1_196	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1401	7.2456550675945355	7883.164	8.972611	-0.9288474	3.0807106
SC22530_1_197	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1321	7.186901020411631	7067.502	8.863404	2.5265357	2.2965076
SC22530_1_198	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1156	7.053585727193677	6465.796	8.774436	5.6627655	2.1715982
SC22530_1_199	GCSKO-17	PBANKA	fd3   PBANKA_1418100	746	6.616065185132817	4522.8926	8.417129	5.5639825	-7.5127697
SC22530_1_19	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1947	7.5745584842024805	10383.512	9.248071	0.7322592	0.68801063
SC22530_1_200	GCSKO-17	PBANKA	fd3   PBANKA_1418100	950	6.85751406254539	5882.184	8.679853	10.986754	-5.4036617
SC22530_1_202	GCSKO-2	PBANKA	md3 PBANKA_0102400	1575	7.362645270417825	8804.173	9.083095	-3.0584588	7.2287683
SC22530_1_203	GCSKO-2	PBANKA	md3 PBANKA_0102400	1057	6.964135612418245	5766.781	8.660043	6.2913637	2.5113053
SC22530_1_204	GCSKO-2	PBANKA	md3 PBANKA_0102400	684	6.529418838262226	3957.0823	8.283515	10.884635	-3.612224
SC22530_1_205	GCSKO-2	PBANKA	md3 PBANKA_0102400	2593	7.860956364876389	12152.232	9.405351	10.83315	13.910049
SC22530_1_206	GCSKO-2	PBANKA	md3 PBANKA_0102400	525	6.26530121273771	3354.0	8.118207	4.745159	-6.8483057
SC22530_1_208	GCSKO-2	PBANKA	md3 PBANKA_0102400	1783	7.486613313139955	9101.807	9.116338	7.912862	11.470528
SC22530_1_20	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1861	7.529406457837013	10068.154	9.217232	-0.91585445	2.3176422
SC22530_1_210	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1485	7.303843225277705	8422.582	9.038791	8.799329	18.877642
SC22530_1_211	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1581	7.366445148327599	8560.955	9.055084	3.3237793	1.0222783
SC22530_1_212	GCSKO-17	PBANKA	fd3   PBANKA_1418100	712	6.569481420414296	4016.4707	8.298408	10.909537	-5.7599845
SC22530_1_213	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1871	7.534762657037537	9946.102	9.205036	1.2080135	0.66249645
