	identity_updated	genetic_background	Genotypes	n_genes_by_counts	log1p_n_genes_by_counts	total_counts	log1p_total_counts	umap1	umap2
SC23723_2_298	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	1344	7.20414929203594	7386.2725	8.907514	-1.0149627	11.559199
SC23723_2_299	WT	PBANKA	wild type	1221	7.108244139731541	6798.914	8.824665	-0.7536683	11.248048
SC23723_2_300	WT	PBANKA	wild type	1125	7.026426808699636	6225.9805	8.736647	-0.7201012	10.428383
SC23723_2_303	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	1126	7.027314514039777	5930.5635	8.688043	-1.7526366	10.907935
SC23723_2_304	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	1329	7.1929342212158	6730.9263	8.814616	-1.7191079	11.349043
SC23723_2_305	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	1912	7.556427969440253	8973.205	9.10211	0.2814554	1.4165397
SC23723_2_306	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	1335	7.197435354096591	6578.297	8.791683	-1.7967191	11.278292
SC23723_2_307	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	675	6.516193076042964	3419.0874	8.137422	9.096358	-6.5456624
SC23723_2_308	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	1273	7.149916836132109	6583.0894	8.792411	-1.2170349	11.513046
SC23723_2_309	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	2297	7.739794458408701	9393.525	9.147882	8.467033	10.959967
SC23723_2_310	WT	PBANKA	wild type	1812	7.502738210754851	8198.582	9.011839	0.36872652	2.013613
SC23723_2_311	WT	PBANKA	wild type	1339	7.200424892944957	6735.8447	8.815347	-1.4594258	11.533953
SC23723_2_313	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	953	6.860663671448287	5268.456	8.569682	6.1012764	8.672895
SC23723_2_314	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	529	6.272877006546167	3191.1982	8.068465	3.4616697	-6.415687
SC23723_2_315	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	1524	7.329749689041512	7816.909	8.964172	7.8471007	10.092932
SC23723_2_317	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	2157	7.67693714581808	10369.99	9.246768	7.79773	13.796727
SC23723_2_318	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	2116	7.6577552711348655	9861.501	9.196495	7.704749	13.796836
SC23723_2_320	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	1194	7.085901464365611	6657.0933	8.803589	-0.7048948	11.232624
SC23723_2_321	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	1416	7.256297239690681	7783.2866	8.959863	-2.11623	12.303122
SC23723_2_322	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	2408	7.786967002614872	11949.326	9.388514	1.0628804	0.4425301
SC23723_2_323	WT	PBANKA	wild type	1192	7.084226422097916	6736.2744	8.815411	-0.72303385	11.303299
SC23723_2_324	WT	PBANKA	wild type	291	5.676753802268282	1566.9268	7.3575096	3.410386	-3.8372927
SC23723_2_326	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	1030	6.93828448401696	5924.816	8.687074	-1.4528774	10.523946
SC23723_2_327	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	2145	7.671360923190644	9494.982	9.158624	8.322481	10.895476
SC23723_2_328	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	1181	7.074963197966044	6458.47	8.773303	-1.8462999	11.078597
SC23723_2_329	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	902	6.805722553416985	4750.792	8.466277	-2.2438076	9.760379
SC23723_2_330	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	756	6.6293632534374485	3973.4502	8.287642	10.596816	-1.5227857
SC23723_2_331	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	1465	7.290292882446597	7612.217	8.937641	-2.9361448	12.5290985
SC23723_2_332	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	1320	7.186144304522325	6710.998	8.811652	-1.901745	11.357372
SC23723_2_333	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	1038	6.946013991099227	4956.377	8.508632	8.261948	2.7970436
SC23723_2_334	WT	PBANKA	wild type	1336	7.198183577101943	7230.899	8.886257	-1.4055647	11.707256
SC23723_2_335	WT	PBANKA	wild type	642	6.466144724237619	3678.1284	8.210431	3.3945336	-7.576253
SC23723_2_338	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	993	6.901737206656574	5550.1504	8.62176	0.45296836	3.4505517
SC23723_2_339	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	1368	7.221835825288449	7678.658	8.94633	-2.6167016	12.655904
SC23723_2_340	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	577	6.359573868672378	3296.3257	8.100867	9.274887	-6.076046
SC23723_2_341	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	1064	6.970730078143525	6192.658	8.731281	-1.7093284	11.113468
SC23723_2_342	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	1380	7.2305631534092925	7447.088	8.915712	-3.2566962	11.066452
SC23723_2_344	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	544	6.300785794663244	3254.6445	8.088145	4.1857567	-6.6058345
SC23723_2_345	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	2091	7.645875825184813	9897.325	9.200121	7.681615	13.7864275
SC23723_2_346	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	2440	7.80016307039296	11996.501	9.392453	10.874246	13.059297
SC23723_2_347	WT	PBANKA	wild type	1367	7.221105098182496	7559.6533	8.930713	-2.1175332	12.049286
SC23723_2_351	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	496	6.208590026096629	2701.2222	7.9018297	10.0030365	-4.881973
SC23723_2_352	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	945	6.852242569051878	4921.715	8.501616	-2.3338826	9.916234
SC23723_2_353	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	762	6.637258031284457	4408.995	8.391629	-1.6899151	8.878242
SC23723_2_354	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	1225	7.111512116496157	6635.9707	8.800411	-1.7071109	11.230179
SC23723_2_355	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	2238	7.713784616598755	9334.581	9.141588	8.467957	10.904331
SC23723_2_356	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	1468	7.292337176173877	7472.0156	8.919054	-1.6037939	12.199644
SC23723_2_357	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	652	6.481577129276431	3390.3887	8.128995	3.7264519	-7.406802
SC23723_2_359	WT	PBANKA	wild type	959	6.866933284461882	5341.09	8.583372	-2.2249272	10.707362
SC23723_2_362	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	628	6.444131256700441	2833.5964	7.949655	4.989458	7.3677526
SC23723_2_363	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	598	6.395261598115449	3228.373	8.080043	-0.031356756	8.902522
SC23723_2_364	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	167	5.123963979403259	1047.3055	6.9549303	2.448844	6.450537
SC23723_2_365	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	238	5.476463551931511	1510.0371	7.3205514	3.4792342	-3.78696
SC23723_2_366	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	856	6.75343791859778	5098.5293	8.536903	-0.38665316	10.085939
SC23723_2_368	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	449	6.1092475827643655	2591.3914	7.860336	9.673791	-2.3227336
SC23723_2_369	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	1070	6.976348070447749	4932.2734	8.503758	6.044179	8.488023
SC23723_2_372	WT	PBANKA	wild type	185	5.225746673713202	1369.9666	7.2232714	3.444787	-3.8688629
SC23723_2_375	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	214	5.3706380281276624	1637.5685	7.4015784	0.65524685	7.690482
SC23723_2_376	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	182	5.209486152841421	1296.8074	7.1684313	4.2044983	6.9588895
SC23723_2_377	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	406	6.008813185442595	2084.5745	7.6428	0.41736114	7.9412894
SC23723_2_378	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	401	5.996452088619021	2237.4902	7.713557	0.3791766	8.117119
SC23723_2_379	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	656	6.48768401848461	3482.7607	8.155868	-0.31032166	9.09194
SC23723_2_380	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	1601	7.379008127628304	5950.3057	8.691366	6.196563	8.671727
SC23723_2_77	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	254	5.541263545158426	1702.6742	7.4405427	3.4174442	-4.051626
SC23723_2_78	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	204	5.3230099791384085	1365.7286	7.2201753	3.5410137	-3.8923385
SC23723_2_81	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	191	5.2574953720277815	1359.7114	7.215763	3.7320666	-4.040735
SC23723_2_88	GCSKO-20	PBANKA	fd4.  PBANKA_1435200	1071	6.977281341630747	6293.3125	8.747402	-2.2054687	10.950093
SC23723_5_100	GCSKO-13	PBANKA	fd2   PBANKA_0902300	633	6.452048954437226	3444.4617	8.144814	4.7999563	-7.177014
SC23723_5_101	GCSKO-13	PBANKA	fd2   PBANKA_0902300	2815	7.943072717277933	12770.967	9.455008	16.371838	2.41715
SC23723_5_102	GCSKO-13	PBANKA	fd2   PBANKA_0902300	2363	7.768110378525988	11271.057	9.330082	17.025295	2.6565285
SC23723_5_103	WT	PBANKA	wild type	890	6.792344427470809	5075.834	8.532443	10.738482	-0.92648244
SC23723_5_104	GCSKO-13	PBANKA	fd2   PBANKA_0902300	1459	7.286191714702382	7847.409	8.968066	-3.342424	12.376428
SC23723_5_105	GCSKO-13	PBANKA	fd2   PBANKA_0902300	2305	7.743269700829004	11860.157	9.381024	16.332684	2.514302
SC23723_5_106	GCSKO-13	PBANKA	fd2   PBANKA_0902300	506	6.2285110035911835	3122.21	8.046617	3.6166806	-6.6750617
SC23723_5_107	WT	PBANKA	wild type	872	6.771935555839602	4622.2217	8.438848	11.156161	-3.4109304
SC23723_5_109	GCSKO-13	PBANKA	fd2   PBANKA_0902300	644	6.4692503167957724	3718.3652	8.221309	4.1162286	-7.95922
SC23723_5_110	GCSKO-13	PBANKA	fd2   PBANKA_0902300	2407	7.786551806428712	11553.92	9.354867	16.891436	2.4532313
SC23723_5_111	GCSKO-13	PBANKA	fd2   PBANKA_0902300	1115	7.017506142941256	5354.625	8.585902	8.115003	2.845332
SC23723_5_112	GCSKO-13	PBANKA	fd2   PBANKA_0902300	560	6.329720905522696	2883.875	7.967237	10.614885	-2.8312213
SC23723_5_113	GCSKO-13	PBANKA	fd2   PBANKA_0902300	2074	7.637716432664798	9667.787	9.176658	16.915098	2.6835492
SC23723_5_114	GCSKO-13	PBANKA	fd2   PBANKA_0902300	505	6.226536669287466	2880.2253	7.965971	4.454201	-6.004534
SC23723_5_115	GCSKO-13	PBANKA	fd2   PBANKA_0902300	2915	7.977968093128549	12701.279	9.449536	16.44979	2.3435094
SC23723_5_117	GCSKO-13	PBANKA	fd2   PBANKA_0902300	2714	7.906547232368036	11830.889	9.378553	16.563812	2.4459608
SC23723_5_118	WT	PBANKA	wild type	749	6.620073206530356	3977.9639	8.288776	3.164331	-8.338639
SC23723_5_119	WT	PBANKA	wild type	721	6.582025138892826	3527.1616	8.168532	9.347834	-6.2362723
SC23723_5_120	WT	PBANKA	wild type	1414	7.254884810077338	6618.1606	8.797724	5.800762	2.35759
SC23723_5_121	GCSKO-13	PBANKA	fd2   PBANKA_0902300	2908	7.975564658495202	14405.395	9.575427	15.887641	2.0165792
SC23723_5_123	GCSKO-13	PBANKA	fd2   PBANKA_0902300	2378	7.774435510302958	11777.171	9.374003	16.470839	2.8222733
SC23723_5_124	GCSKO-13	PBANKA	fd2   PBANKA_0902300	2116	7.6577552711348655	10468.644	9.256235	16.942932	2.7850823
SC23723_5_125	GCSKO-13	PBANKA	fd2   PBANKA_0902300	2621	7.871692664323645	13151.246	9.484348	16.525646	2.3047285
SC23723_5_126	GCSKO-13	PBANKA	fd2   PBANKA_0902300	879	6.779921907472252	4694.5737	8.454375	8.128464	2.6912284
SC23723_5_127	WT	PBANKA	wild type	671	6.51025834052315	4133.2305	8.327057	2.9675612	-8.526112
SC23723_5_128	GCSKO-13	PBANKA	fd2   PBANKA_0902300	402	5.998936561946683	2376.3447	7.7737393	4.000231	-5.1554832
SC23723_5_129	GCSKO-13	PBANKA	fd2   PBANKA_0902300	825	6.716594773520978	4340.882	8.376063	11.217691	-2.348253
SC23723_5_12	WT	PBANKA	wild type	1193	7.085064293952548	7095.256	8.867323	6.397245	4.1120167
SC23723_5_130	GCSKO-13	PBANKA	fd2   PBANKA_0902300	742	6.610696044717759	4406.228	8.391001	4.035281	-9.069676
SC23723_5_131	WT	PBANKA	wild type	757	6.630683385642372	4517.8364	8.41601	3.6911252	-9.13401
SC23723_5_132	WT	PBANKA	wild type	2137	7.6676260915849905	10265.014	9.236594	8.297228	12.749269
SC23723_5_133	GCSKO-13	PBANKA	fd2   PBANKA_0902300	2924	7.981049759665957	14312.073	9.568929	16.032923	2.0494523
SC23723_5_134	GCSKO-13	PBANKA	fd2   PBANKA_0902300	697	6.548219102762372	4107.2725	8.320758	3.033259	-8.4426775
SC23723_5_136	GCSKO-13	PBANKA	fd2   PBANKA_0902300	2387	7.778211474512493	11593.654	9.358299	16.668951	2.854868
SC23723_5_137	GCSKO-13	PBANKA	fd2   PBANKA_0902300	2172	7.6838639802564295	10231.716	9.233345	16.791504	3.0588877
SC23723_5_138	GCSKO-13	PBANKA	fd2   PBANKA_0902300	1728	7.455298485683291	8614.842	9.0613575	-1.6298487	12.473741
SC23723_5_139	GCSKO-13	PBANKA	fd2   PBANKA_0902300	1668	7.419979923661835	8607.92	9.0605545	-2.214326	12.601151
SC23723_5_140	GCSKO-13	PBANKA	fd2   PBANKA_0902300	2584	7.85748078694253	11748.365	9.371554	16.620525	2.5122602
SC23723_5_141	GCSKO-13	PBANKA	fd2   PBANKA_0902300	741	6.60934924316738	3711.188	8.219377	10.052274	0.14104566
SC23723_5_142	WT	PBANKA	wild type	1483	7.302496423727326	7400.9824	8.909503	-2.4251156	12.402866
SC23723_5_143	WT	PBANKA	wild type	2910	7.976251943745623	12794.152	9.456821	10.856374	13.725032
SC23723_5_144	WT	PBANKA	wild type	689	6.536691597591305	4090.7234	8.316722	3.1721087	-8.5664015
SC23723_5_145	GCSKO-13	PBANKA	fd2   PBANKA_0902300	2161	7.6787889981991535	11461.48	9.346834	16.596779	2.9004219
SC23723_5_147	GCSKO-13	PBANKA	fd2   PBANKA_0902300	1322	7.187657164114956	7148.666	8.874821	-2.549303	11.5522585
SC23723_5_148	GCSKO-13	PBANKA	fd2   PBANKA_0902300	2167	7.681560362559537	10934.535	9.299773	17.150265	2.723648
SC23723_5_14	GCSKO-13	PBANKA	fd2   PBANKA_0902300	361	5.8916442118257715	2607.1895	7.8664117	3.6980784	-5.695091
SC23723_5_150	GCSKO-13	PBANKA	fd2   PBANKA_0902300	1474	7.29641326877392	7828.213	8.965617	-0.781806	3.3131728
SC23723_5_151	WT	PBANKA	wild type	2296	7.739359202689098	11565.085	9.355832	10.208209	13.857487
SC23723_5_152	GCSKO-13	PBANKA	fd2   PBANKA_0902300	2758	7.922623574217286	13435.238	9.505711	16.035156	2.1562302
SC23723_5_153	GCSKO-13	PBANKA	fd2   PBANKA_0902300	1849	7.52294091807237	9562.723	9.165732	2.5089567	1.6709303
SC23723_5_154	GCSKO-13	PBANKA	fd2   PBANKA_0902300	2656	7.884952945759814	13216.479	9.489295	15.9635315	2.2144191
SC23723_5_155	WT	PBANKA	wild type	678	6.520621127558696	3879.1375	8.263626	7.723929	-7.62954
SC23723_5_156	WT	PBANKA	wild type	657	6.489204931325317	3818.9565	8.247994	10.501625	-5.041378
SC23723_5_157	GCSKO-13	PBANKA	fd2   PBANKA_0902300	2561	7.848543482456679	12885.109	9.463905	16.26649	2.239018
SC23723_5_158	GCSKO-13	PBANKA	fd2   PBANKA_0902300	421	6.045005314036012	2718.3066	7.908132	3.382387	-5.448548
SC23723_5_159	GCSKO-13	PBANKA	fd2   PBANKA_0902300	464	6.142037405587356	2651.0747	7.8830976	4.6564937	-5.5314126
SC23723_5_15	GCSKO-13	PBANKA	fd2   PBANKA_0902300	503	6.222576268071369	3428.1985	8.140081	3.834624	-7.8565197
SC23723_5_160	GCSKO-13	PBANKA	fd2   PBANKA_0902300	716	6.57507584059962	4239.1035	8.352343	2.676489	-8.488471
SC23723_5_161	GCSKO-13	PBANKA	fd2   PBANKA_0902300	1475	7.297091005160418	7661.868	8.944141	-2.3129127	12.18629
SC23723_5_162	GCSKO-13	PBANKA	fd2   PBANKA_0902300	1052	6.959398512133975	5757.4556	8.658424	-0.1463724	3.2324169
SC23723_5_163	GCSKO-13	PBANKA	fd2   PBANKA_0902300	1586	7.369600720526409	7748.5195	8.955386	-3.499567	11.139995
SC23723_5_164	GCSKO-13	PBANKA	fd2   PBANKA_0902300	2676	7.892452043520352	11629.366	9.361375	16.432564	2.5098233
SC23723_5_165	GCSKO-13	PBANKA	fd2   PBANKA_0902300	1583	7.367708572374371	8075.945	8.996769	-2.2062964	13.1504965
SC23723_5_166	WT	PBANKA	wild type	797	6.682108597449809	3918.674	8.273764	9.154897	0.9654328
SC23723_5_167	WT	PBANKA	wild type	2158	7.677400430514807	9993.621	9.209803	8.130624	12.489256
SC23723_5_168	WT	PBANKA	wild type	731	6.595780513961311	4162.6777	8.334154	2.0998452	-8.146695
SC23723_5_16	GCSKO-13	PBANKA	fd2   PBANKA_0902300	242	5.493061443340548	1822.1897	7.5083427	9.746614	-5.0896025
SC23723_5_171	GCSKO-13	PBANKA	fd2   PBANKA_0902300	700	6.55250788703459	3808.5376	8.245263	10.5316725	-4.6575747
SC23723_5_172	GCSKO-13	PBANKA	fd2   PBANKA_0902300	436	6.07993319509559	2624.6436	7.873081	4.505386	-5.905436
SC23723_5_174	GCSKO-13	PBANKA	fd2   PBANKA_0902300	2678	7.893198869544609	13078.394	9.478793	16.134857	2.348302
SC23723_5_175	WT	PBANKA	wild type	2124	7.661527081358517	11388.561	9.340452	1.0293255	0.4852913
SC23723_5_176	GCSKO-13	PBANKA	fd2   PBANKA_0902300	531	6.2766434893416445	3261.757	8.090328	4.6873374	-6.9410777
SC23723_5_17	GCSKO-13	PBANKA	fd2   PBANKA_0902300	626	6.440946540632921	3758.103	8.2319355	3.9261672	-7.982482
SC23723_5_180	WT	PBANKA	wild type	1065	6.97166860472579	5978.9106	8.696161	6.435863	2.5038953
SC23723_5_181	GCSKO-13	PBANKA	fd2   PBANKA_0902300	531	6.2766434893416445	3318.591	8.107597	3.3457487	-6.5377464
SC23723_5_182	GCSKO-13	PBANKA	fd2   PBANKA_0902300	1585	7.368970402194793	8199.045	9.011895	17.10917	2.5590024
SC23723_5_183	GCSKO-13	PBANKA	fd2   PBANKA_0902300	2407	7.786551806428712	11741.92	9.371006	16.905495	2.6124206
SC23723_5_184	GCSKO-13	PBANKA	fd2   PBANKA_0902300	796	6.680854678790215	4368.6587	8.382441	8.60515	-7.306607
SC23723_5_185	GCSKO-13	PBANKA	fd2   PBANKA_0902300	665	6.501289670540389	4035.379	8.303103	2.8410268	-8.372189
SC23723_5_186	GCSKO-13	PBANKA	fd2   PBANKA_0902300	1311	7.179307969504034	6567.9644	8.790112	3.605363	1.8506273
SC23723_5_187	GCSKO-13	PBANKA	fd2   PBANKA_0902300	754	6.626717749249025	4048.0884	8.306247	2.9670188	3.393578
SC23723_5_188	GCSKO-13	PBANKA	fd2   PBANKA_0902300	665	6.501289670540389	3829.5273	8.250758	4.1721416	-7.969193
SC23723_5_18	GCSKO-13	PBANKA	fd2   PBANKA_0902300	665	6.501289670540389	4544.438	8.42188	-1.7225822	10.391621
SC23723_5_191	WT	PBANKA	wild type	1050	6.957497370876951	5821.7656	8.669531	-1.244036	10.313656
SC23723_5_192	WT	PBANKA	wild type	2225	7.70796153183549	11086.951	9.313614	8.714359	14.251688
SC23723_5_194	GCSKO-13	PBANKA	fd2   PBANKA_0902300	415	6.030685260261263	2727.1384	7.9113746	4.0431795	-5.394647
SC23723_5_195	GCSKO-13	PBANKA	fd2   PBANKA_0902300	805	6.692083742506628	4752.8003	8.4667	2.7326202	3.2101738
SC23723_5_196	GCSKO-13	PBANKA	fd2   PBANKA_0902300	1623	7.392647520721623	9079.047	9.113834	-1.1689135	2.7652628
SC23723_5_197	GCSKO-13	PBANKA	fd2   PBANKA_0902300	720	6.580639137284949	4547.759	8.422609	2.9715688	-9.036428
SC23723_5_198	GCSKO-13	PBANKA	fd2   PBANKA_0902300	769	6.646390514847729	4259.927	8.357242	8.585615	-7.244248
SC23723_5_199	WT	PBANKA	wild type	810	6.698268054115413	5468.5317	8.606948	-1.3841835	10.16469
SC23723_5_19	GCSKO-13	PBANKA	fd2   PBANKA_0902300	479	6.173786103901937	3115.649	8.044514	4.6471353	7.1742053
SC23723_5_200	GCSKO-13	PBANKA	fd2   PBANKA_0902300	1075	6.98100574072173	6016.494	8.702426	7.4880176	2.8096056
SC23723_5_201	GCSKO-13	PBANKA	fd2   PBANKA_0902300	1461	7.2875606403097235	8369.666	9.032489	-3.7401235	12.410985
SC23723_5_202	GCSKO-13	PBANKA	fd2   PBANKA_0902300	1505	7.317212408359839	8033.968	8.991558	4.9801	1.9524705
SC23723_5_203	WT	PBANKA	wild type	897	6.8001700683022	5096.954	8.536594	10.384838	0.3351418
SC23723_5_204	WT	PBANKA	wild type	1485	7.303843225277705	8450.053	9.042047	-3.5669298	13.152357
SC23723_5_206	GCSKO-13	PBANKA	fd2   PBANKA_0902300	1253	7.134093721192866	7414.5757	8.911338	-2.7285864	11.600419
SC23723_5_207	GCSKO-13	PBANKA	fd2   PBANKA_0902300	771	6.648984550024776	4856.798	8.48834	-2.0043807	10.41413
SC23723_5_20	GCSKO-13	PBANKA	fd2   PBANKA_0902300	767	6.643789733147672	4882.8906	8.493697	5.8406577	8.356026
SC23723_5_210	GCSKO-13	PBANKA	fd2   PBANKA_0902300	257	5.552959584921617	1716.5316	7.448643	4.0302424	-4.7524023
SC23723_5_211	GCSKO-13	PBANKA	fd2   PBANKA_0902300	467	6.148468295917647	3008.0442	8.0093775	4.4820485	-6.433105
SC23723_5_212	GCSKO-13	PBANKA	fd2   PBANKA_0902300	1839	7.517520850603031	9962.245	9.206658	17.05548	2.8156645
SC23723_5_213	GCSKO-13	PBANKA	fd2   PBANKA_0902300	367	5.908082938168931	2428.0845	7.7952695	3.7910693	-5.3326306
SC23723_5_214	WT	PBANKA	wild type	665	6.501289670540389	4013.2454	8.297605	9.0242815	1.3257084
SC23723_5_215	WT	PBANKA	wild type	1283	7.157735484249907	7641.707	8.941507	-2.7371562	11.667213
SC23723_5_216	WT	PBANKA	wild type	611	6.416732282512326	3724.2656	8.222894	10.641514	-4.5664053
SC23723_5_217	GCSKO-13	PBANKA	fd2   PBANKA_0902300	801	6.687108607866515	4723.116	8.460436	3.3051038	-9.127931
SC23723_5_218	GCSKO-13	PBANKA	fd2   PBANKA_0902300	1594	7.374629015218945	8950.436	9.099569	-3.145535	13.846483
SC23723_5_219	GCSKO-13	PBANKA	fd2   PBANKA_0902300	1463	7.288927694521257	7963.748	8.98278	-3.389029	12.593591
SC23723_5_21	GCSKO-13	PBANKA	fd2   PBANKA_0902300	518	6.251903883165888	3021.1245	8.013716	10.057047	-1.9806217
SC23723_5_220	GCSKO-13	PBANKA	fd2   PBANKA_0902300	778	6.658011045870748	4414.1353	8.392794	3.4104054	-8.907745
SC23723_5_221	GCSKO-13	PBANKA	fd2   PBANKA_0902300	601	6.400257445308821	3504.1575	8.161991	4.658253	-7.029225
SC23723_5_222	GCSKO-13	PBANKA	fd2   PBANKA_0902300	810	6.698268054115413	4389.647	8.387232	10.412198	0.27111337
SC23723_5_223	WT	PBANKA	wild type	725	6.587550014824796	4477.0674	8.406947	4.1202717	-8.983397
SC23723_5_224	GCSKO-13	PBANKA	fd2   PBANKA_0902300	2787	7.933079771880415	13578.096	9.516287	15.981121	2.0676398
SC23723_5_225	GCSKO-13	PBANKA	fd2   PBANKA_0902300	1515	7.323830566202317	8423.01	9.038841	-3.7816746	13.099396
SC23723_5_226	GCSKO-13	PBANKA	fd2   PBANKA_0902300	3014	8.011355109161286	14719.915	9.597025	15.949835	2.0772169
SC23723_5_227	WT	PBANKA	wild type	1733	7.458186157340487	9402.433	9.14883	-3.823521	13.3110695
SC23723_5_228	WT	PBANKA	wild type	689	6.536691597591305	4123.9336	8.324805	4.3695307	-8.344917
SC23723_5_229	GCSKO-13	PBANKA	fd2   PBANKA_0902300	1322	7.187657164114956	7601.4746	8.936229	-2.6074057	11.551805
SC23723_5_22	WT	PBANKA	wild type	2435	7.798112628829788	11227.308	9.326194	9.851551	13.292074
SC23723_5_230	GCSKO-13	PBANKA	fd2   PBANKA_0902300	2283	7.7336835707759	11850.754	9.380231	16.578415	3.0444822
SC23723_5_231	GCSKO-13	PBANKA	fd2   PBANKA_0902300	1217	7.1049654482698426	6874.238	8.835682	-2.9178543	11.250214
SC23723_5_232	GCSKO-13	PBANKA	fd2   PBANKA_0902300	643	6.467698726104354	3547.2556	8.1742115	9.300002	-6.421556
SC23723_5_233	GCSKO-13	PBANKA	fd2   PBANKA_0902300	1533	7.335633981927201	7869.621	8.970892	2.7204993	1.3374413
SC23723_5_234	GCSKO-13	PBANKA	fd2   PBANKA_0902300	2329	7.753623546559746	11251.888	9.32838	16.695972	2.9818063
SC23723_5_235	GCSKO-13	PBANKA	fd2   PBANKA_0902300	570	6.3473892096560105	3329.8042	8.110969	4.57598	-6.9072485
SC23723_5_236	GCSKO-13	PBANKA	fd2   PBANKA_0902300	1034	6.942156705699469	6020.2793	8.703055	-1.7997495	10.779658
SC23723_5_237	GCSKO-13	PBANKA	fd2   PBANKA_0902300	1405	7.2485040723706105	7499.9014	8.922778	-2.643467	11.708178
SC23723_5_238	WT	PBANKA	wild type	574	6.354370040797351	3488.585	8.157538	3.826688	-7.681692
SC23723_5_239	WT	PBANKA	wild type	1207	7.0967213784947605	5953.5693	8.691915	7.151772	2.7150834
SC23723_5_23	WT	PBANKA	wild type	1222	7.109062135687172	6505.0547	8.780489	6.2861276	9.043978
SC23723_5_240	WT	PBANKA	wild type	665	6.501289670540389	4182.4023	8.338881	2.9984226	-8.583423
SC23723_5_241	GCSKO-13	PBANKA	fd2   PBANKA_0902300	804	6.690842277418564	4297.33	8.365982	10.906363	-4.275634
SC23723_5_242	GCSKO-13	PBANKA	fd2   PBANKA_0902300	1601	7.379008127628304	8638.9375	9.064151	-3.6916182	12.877864
SC23723_5_243	GCSKO-13	PBANKA	fd2   PBANKA_0902300	680	6.523562306149512	3731.796	8.224913	7.802941	-7.5633516
SC23723_5_244	GCSKO-13	PBANKA	fd2   PBANKA_0902300	1465	7.290292882446597	7707.6763	8.950102	-3.4672656	11.60413
SC23723_5_245	GCSKO-13	PBANKA	fd2   PBANKA_0902300	1363	7.218176838403408	7447.189	8.915727	-3.2544496	11.446299
SC23723_5_246	GCSKO-13	PBANKA	fd2   PBANKA_0902300	730	6.594413459749778	3879.0032	8.263591	7.4730363	-7.5729113
SC23723_5_247	WT	PBANKA	wild type	2450	7.804251383528112	12317.155	9.41883	10.802713	14.572133
SC23723_5_248	GCSKO-13	PBANKA	fd2   PBANKA_0902300	740	6.608000625296087	4056.4753	8.308316	4.64805	-7.5894
